,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
172,Pedro Rebocho Pacos de Ferreira,26, D(L),,16(4),1407,2,0.9,31.5,80.8,1,2.0,-,6.65
173,Tiago Sá Braga,26, GK,,2,180,-,-,28.5,84.2,-,6.0,-,6.65
174,Reggie Cannon Boavista,23, D(R),M(R),30(1),2515,1,0.6,27.5,79.5,0.5,1.0,-,6.65
175,Kewin Moreirense,26, GK,,2,180,-,-,24.5,61.2,-,5.5,-,6.65
176,Pedro Henrique Farense,25, FW,,16(10),1489,1,0.4,12.6,58.7,-,0.2,-,6.64
177,Jackson Porozo Boavista,21, D(C),,7(4),696,-,0.1,16.8,78.9,-,0.4,-,6.64
178,Yan Moreirense,23, AM(R),,18(10),1571,3,1,18.0,72.6,0.4,0.9,-,6.64
179,Luiz Carlos Pacos de Ferreira,36, D(R),DMC,31(3),2532,3,0.7,29.1,81.2,0.1,1.9,-,6.63
180,Gelson Dala Rio Ave,25, AM(CL),FW,28(3),2514,5,1.1,14.3,68.0,-,0.6,0.1,6.63
181,Jordi Pacos de Ferreira,28, GK,,32,2880,-,0.1,24.0,46.6,-,5.7,-,6.63
182,Stefano Beltrame Maritimo,28, Midfielder,,1(2),111,-,0.3,13.0,82.1,0.3,0.3,-,6.63
183,Pedrão Nacional,24, D(C),,30,2700,-,0.2,41.8,79.9,-,2.6,-,6.63
184,Aylton Boa Morte Portimonense,28, AM(LR),,29(5),2574,4,0.7,15.9,67.2,0.3,0.3,0.1,6.63
185,Iván Jaime Famalicao,21, AM(CL),FW,14(8),1177,2,0.8,15.3,84.8,0.4,0.5,-,6.63
186,Nicolás Gaitán Braga,33, M(CLR),FW,5(13),650,1,1.8,16.2,74.0,1.3,1.2,0.1,6.63
187,Riccieli Famalicao,23, D(C),,22(4),1823,-,0.2,43.3,87.1,-,3.1,-,6.62
188,Silvio Vitoria de Guimaraes,34, D(LR),,10,857,-,0.3,36.4,83.2,0.1,1.7,-,6.62
189,Samuel Lino Gil Vicente,21, AM(LR),FW,21(12),2017,1,0.3,18.4,80.0,0.1,0.5,-,6.62
190,Lazar Rosic Moreirense,28, D(C),,32(1),2893,-,0.2,48.1,80.8,-,5.1,-,6.62
191,Yohan Tavares Tondela,33, D(C),,28,2424,-,-,49.0,83.1,-,3.1,-,6.62
192,Mateus Pasinato Moreirense,29, GK,,30,2700,-,-,28.8,55.0,-,6.8,-,6.62
193,Filipe Soares Moreirense,22, AM(C),FW,27(4),2404,2,0.9,29.9,79.7,0.3,1.3,-,6.62
194,David Carmo Braga,22, D(C),,11(1),999,-,0.2,64.3,83.9,0.1,7.4,-,6.62
195,Rafik Guitane Maritimo,22, AM(C),,18(8),1507,1,1.1,21.2,80.2,0.2,0.8,0.1,6.62
196,Pawel Kieszek Rio Ave,37, GK,,34,3060,-,-,30.5,69.9,-,6.4,-,6.62
197,Dudu Nacional,22, Forward,,1(2),31,-,-,4.0,83.3,-,-,-,6.62
198,Anthony D'Alberto Moreirense,27, D(LR),M(R),21(3),1772,-,0.3,28.7,75.2,0.2,1.6,-,6.61
199,Enzo Martínez Tondela,23, D(C),,21(8),1989,1,0.2,41.0,78.0,-,3.1,0.1,6.61
200,Samuel Portimonense,27, GK,,29(1),2671,-,0.1,36.1,61.5,-,9.5,-,6.61
201,Luiz Júnior Famalicao,20, GK,,23,2070,-,-,28.7,64.6,-,6.0,-,6.61
202,Fábio Coentrão Rio Ave,33, D(L),M(LR),11(2),934,-,0.3,34.7,75.8,0.6,2.5,-,6.61
203,Ygor Nogueira Gil Vicente,26, D(C),,21(3),1855,-,0.2,38.0,80.6,-,2.9,-,6.61
204,Rodrigão Gil Vicente,26, D(C),,23(7),2171,1,0.2,37.7,80.0,-,2.9,-,6.61
205,Lucas Piazon Braga,27, AM(CLR),FW,11(9),919,4,0.6,19.5,86.4,0.2,0.5,-,6.61
206,Afonso Taira Belenenses SAD,29, DMC,,19(12),1815,1,0.5,30.1,76.1,-,2.6,-,6.61
207,Andraz Sporar Sporting,27, FW,,6(7),576,1,0.4,9.3,66.9,0.1,0.1,-,6.6
208,Patrick Willian Famalicao,24, D(CR),,16(4),1492,-,0.2,43.8,79.8,-,4.0,-,6.6
209,Gonçalo Silva Belenenses SAD,30, D(CR),,18,1567,-,0.2,36.9,73.6,-,3.1,-,6.6
210,Amine Oudrhiri Farense,29, DMC,,31(1),2755,2,0.7,33.7,83.9,0.5,3.4,-,6.6
211,Júlio Romao Santa Clara,23, Midfielder,,2(3),194,-,-,16.8,90.5,-,0.8,-,6.6
212,Walterson Moreirense,26, AM(LR),FW,27(5),2411,2,0.7,18.6,76.9,0.2,0.7,-,6.6
213,Bebeto Tondela,31, D(R),,18(7),1471,4,0.5,27.0,80.3,0.4,1.5,-,6.59
214,Claude Goncalves Gil Vicente,27, M(C),,26(7),2269,2,0.4,31.5,81.1,0.1,2.7,-,6.59
215,Mateo Cassierra Belenenses SAD,24, FW,,23(9),1997,1,0.6,13.9,76.0,0.1,0.2,-,6.59
216,João Camacho Nacional,27, AM(LR),,20(8),1761,1,0.8,16.1,75.6,0.5,0.8,-,6.59
217,Cafu Belenenses SAD,27, D(C),DMC,24(3),2063,1,0.3,27.2,76.7,0.1,1.1,-,6.59
218,Bruno Jordão Famalicao,23, M(C),,7(2),632,1,0.7,20.7,75.8,0.1,1.6,-,6.59
219,Matheus Clemente Famalicao,23, Midfielder,,0(1),27,-,1,15.0,73.3,-,1.0,-,6.59
220,Diogo Figueiras Famalicao,30, D(LR),M(R),15(4),1391,1,0.7,32.5,79.6,0.5,1.7,-,6.58
221,Pedro Augusto Tondela,24, DMC,,20(7),1690,2,0.6,25.3,81.0,-,1.6,-,6.58
222,Fernando Fonseca Pacos de Ferreira,24, D(R),,30(2),2713,1,0.5,32.9,73.4,0.5,3.2,-,6.58
223,Adil Rami Boavista,35, D(C),,22,1800,-,0.1,33.5,83.2,-,4.3,-,6.58
224,Cristián Borja Braga,28, D(CL),M(L),8(5),778,-,0.2,35.8,82.0,0.3,1.6,-,6.58
225,Fali Candé Portimonense,23, D(L),,15(7),1361,-,0.5,23.5,65.0,0.7,1.2,-,6.58
226,Hélder Ferreira Pacos de Ferreira,24, AM(LR),,25(8),2024,4,0.8,18.4,69.5,0.2,0.6,-,6.57
227,João Mendes Tondela,27, Midfielder,,1(5),188,-,1.0,20.2,81.0,-,1.5,-,6.57
228,João Novais Braga,28, M(CLR),,9(17),1074,2,1.0,23.2,80.2,0.6,2.5,0.1,6.57
229,Claudio Falcão Farense,27, D(C),DMC,14(7),1323,1,0.1,24.5,74.2,-,3.8,-,6.57
230,Bruno Rodrigues Braga,20, D(C),,8(2),732,-,0.2,58.2,91.4,-,2.0,-,6.57
231,Matheus Nunes Sporting,23, M(C),,12(19),1259,2,0.2,17.0,84.5,0.1,1.0,-,6.57
232,André Almeida Vitoria de Guimaraes,21, AM(C),,21(9),1653,-,0.5,18.5,84.9,0.2,0.5,-,6.57
233,Shoya Nakajima Porto,27, AM(CL),,1(3),149,1,0.3,18.3,83.6,0.3,0.3,-,6.57
234,Antoine Leautey Gil Vicente,25, AM(LR),,16(9),1405,1,0.8,13.9,83.6,0.4,0.6,0.1,6.56
235,Bruno Varela Vitoria de Guimaraes,27, GK,,31,2790,-,-,28.1,59.9,-,7.1,-,6.56
236,Matheus Braga,29, GK,,32,2880,-,-,31.3,76.0,-,6.2,-,6.56
237,Henrique Belenenses SAD,35, D(CR),,25,2179,1,0.2,34.7,86.3,-,3.2,-,6.56
238,Roberto Olabe Tondela,25, AM(CL),,13(4),1104,2,0.5,33.4,83.2,-,1.5,0.1,6.56
239,António Filipe Nacional,36, GK,,9,810,-,-,25.4,35.8,-,7.4,-,6.56
240,Diogo Leite Porto,22, D(C),,12(7),1166,-,0.2,46.8,90.0,-,2.5,-,6.56
241,Steven Vitória Moreirense,34, D(C),,16(3),1389,-,0.1,34.8,81.7,-,3.3,-,6.56
242,Abel Ruiz Braga,21, FW,,16(9),1293,3,0.6,12.3,79.8,-,0.1,-,6.55
