,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
101,Miguel Oliveira Moreirense,27, Goalkeeper,,2,180,-,-,-,-,1.0,-,-,-,6.79
102,André Moreira Belenenses SAD,25, GK,,7(1),714,-,-,-,-,0.6,0.3,-,-,6.79
103,Gilberto Benfica,28, D(R),M(R),17(8),1490,1.8,0.9,1.5,0.4,0.8,1,0.1,1,6.79
104,Toni Martínez Porto,24, FW,,6(12),601,0.3,-,0.6,-,0.3,0.1,-,-,6.79
105,João Vigário Nacional,25, D(L),,18(3),1517,1.9,1.4,0.8,0.1,1.9,0.9,0.3,-,6.78
106,Julian Weigl Benfica,26, D(C),DMC,23(5),2036,1.5,1,1.4,0.1,1.0,0.9,0.3,-,6.78
107,Joel Tagueu Maritimo,27, AM(L),FW,27(5),2259,0.8,0.3,1.4,-,0.9,0.2,-,-,6.78
108,Nahuel Ferraresi Moreirense,22, D(CR),,20(4),1930,1.6,1.3,0.8,0.4,2.8,0.6,0.2,-,6.78
109,João Talocha Gil Vicente,32, D(L),M(L),28(3),2527,0.9,1.5,0.6,0.3,2.2,0.3,0.3,-,6.78
110,Al Musrati Braga,25, DMC,,23(5),1961,1.5,1.5,1.2,0.1,0.5,0.9,0.1,-,6.78
111,Gonçalo Inácio Sporting,20, D(C),,15(5),1357,0.8,1.6,1.3,0.5,2.1,0.3,0.2,-,6.78
112,Luther Singh Pacos de Ferreira,24, AM(LR),,24(5),1964,1.0,0.4,1.3,-,0.4,0.9,-,-,6.77
113,Crysan Santa Clara,25, FW,,15(9),1315,1.0,0.1,2.0,-,0.3,0.7,0.1,-,6.77
114,César Martins Farense,28, D(C),,16,1325,0.9,1.9,0.9,0.4,5.9,0.6,0.8,-,6.77
115,Moussa Marega Porto,30, AM(LR),FW,25(5),2014,0.4,0.2,0.7,-,0.5,0.3,0.1,-,6.77
116,Zé Carlos Braga,23, D(R),,2(2),229,1.0,2.3,0.5,-,1.3,0.8,-,-,6.77
117,Allano Santa Clara,26, AM(LR),,14(4),1112,1.3,0.4,1.9,0.2,0.3,0.7,0.2,-,6.76
118,Ricardo Mangas Boavista,23, D(CL),M(L),21(7),1968,1.6,1.6,1.0,0.3,1.4,0.4,-,-,6.76
119,Pêpê Famalicao,24, M(C),,17(1),1545,2.0,1.3,1.2,0.1,0.5,1.9,0.2,-,6.76
120,Manuel Ugarte Famalicao,20, DMC,,18(2),1523,2.5,1.2,2.3,0.1,0.6,1.8,0.2,-,6.76
121,Marko Grujic Porto,25, DMC,,9(14),818,0.8,0.4,1.1,-,0.8,0.2,0.1,-,6.75
