,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
140,Benny Feilhaber Colorado,36, M(C),,7(2),620,1,0.7,1.7,0.1,0.8,0.4,0.2,-,6.84
141,Brian White New York,25, FW,,17(3),1368,0.6,0.3,0.7,-,0.6,0.5,0.2,-,6.84
142,Connor Lade New York,32, D(LR),,10(1),845,2.5,1.8,1,-,2.1,0.6,0.2,-,6.83
143,Omar Browne Montreal,27, Midfielder,,5(5),564,0.5,0.2,1.5,-,0.1,1.2,-,-,6.83
144,Yordy Reyna Vancouver,28, AM(CLR),FW,22(3),1991,0.6,0.4,1.4,-,0.2,0.8,-,-,6.83
145,Rolf Feltscher L.A. Galaxy,31, D(R),,25(1),2201,1.3,1.3,1,0.3,2.2,0.6,0.3,-,6.82
146,Kaku New York,26, AM(CLR),,22(5),1997,1.1,0.3,0.3,-,0.1,1.2,-,-,6.82
147,Andrew Putna Salt Lake,27, GK,,5,450,-,-,-,-,0.6,-,-,-,6.82
148,Zac MacMath Vancouver,30, GK,,8,720,-,-,0.1,-,1.5,-,-,-,6.82
149,Matt Hedges FC Dallas,31, D(C),,34,3005,1.1,1.6,0.4,0.3,4.1,0.5,0.9,-,6.82
150,Aníbal Godoy San Jose,31, DMC,,15,1344,2.6,1.9,2.5,-,1.3,0.9,0.3,-,6.81
151,Federico Higuaín Columbus,37, AM(C),,13(1),1134,0.5,0.1,0.2,-,0.1,1.4,-,-,6.81
152,Auro Toronto,25, D(LR),M(CR),26(1),2230,1.5,1.0,0.6,0.2,1.1,0.7,0.1,-,6.81
153,Tommy Thompson San Jose,26, D(LR),M(CLR),28(2),2296,1.9,1.2,0.8,0.1,0.6,0.9,0.1,-,6.81
154,Diego Chara Portland,35, DMC,,30(1),2696,2.6,1.4,2.3,0.1,1.1,1.4,0.5,-,6.81
155,Joseph Mora DC United,28, D(L),M(L),19(2),1682,2.0,1.1,0.8,-,2.0,0.7,0.1,-,6.8
156,Donny Toia Salt Lake,29, D(LR),,26,2324,1.3,1.5,0.8,0.3,2.4,0.6,0.3,-,6.8
157,Júnior Moreno DC United,28, DMC,,30,2671,2.0,1.3,1.1,0.1,1.1,0.7,0.6,-,6.8
158,Víctor Cabrera Montreal,28, D(C),,13(3),1178,2.5,2.4,0.8,0.4,3.5,1.4,0.3,-,6.8
159,Edgar Castillo New England,35, D(L),M(L),20,1693,3.2,1.6,0.8,0.3,1.4,1.9,0.3,-,6.8
160,Marco Delgado Toronto,26, D(LR),M(CR),33(1),2944,2.1,0.9,1.0,-,0.7,1.1,0.2,-,6.8
161,Graham Zusi Kansas City,35, D(R),M(CLR),26(1),2352,1.9,1.4,0.8,0.4,1.7,1.2,0.3,-,6.8
162,Kai Wagner Philadelphia,24, D(L),,32,2894,2.6,1.5,1.2,0.3,2.0,1.0,0.5,-,6.8
163,Tristan Blackmon Los Angeles FC,25, D(CR),,17(3),1558,0.9,1.5,0.5,0.4,2.4,0.3,0.4,-,6.8
164,Memo Rodríguez Houston,25, AM(CLR),,16(10),1393,1.2,0.5,0.7,-,0.4,1.2,0.1,-,6.79
165,Maximiliano Urruti Montreal,30, AM(C),FW,27(4),2440,1.5,0.5,1.3,-,0.1,1.0,-,-,6.79
166,Ismael Tajouri-Shradi New York City FC,27, AM(LR),FW,12(8),1031,0.6,0.3,0.6,-,0.2,0.4,-,-,6.79
167,Cristian Penilla New England,30, AM(LR),,19(12),1872,0.9,0.4,0.7,-,0.2,0.5,0.1,-,6.79
168,Emmanuel Jorge Ledesma FC Cincinnati,33, AM(LR),FW,20(6),1769,1.1,0.9,1.1,0.1,0.7,1.0,-,-,6.79
169,Ignacio Piatti Montreal,36, AM(CL),FW,9(2),757,1.2,0.3,1.5,-,0.3,0.7,0.1,-,6.79
170,Vito Mannone Minnesota United,33, GK,,35,3150,0.1,-,-,-,0.7,0.1,-,-,6.79
171,Jorge Villafaña Portland,32, D(L),M(L),23(1),2038,2.3,1.2,0.8,0.3,1.9,1.2,0.2,-,6.78
172,Dominique Badji FC Dallas,29, AM(LR),FW,24(4),2040,0.5,0.3,1.1,-,0.5,0.4,0.1,-,6.78
173,Luis Díaz Columbus,22, AM(R),,9(4),797,0.5,0.3,0.8,-,-,0.8,-,-,6.77
174,Michael Bradley Toronto,34, D(C),M(C),30(1),2762,1.9,0.7,1.2,-,0.9,1.2,0.4,-,6.77
175,Fafà Picault Philadelphia,30, AM(LR),FW,22(12),2007,0.8,0.5,0.8,-,0.5,0.5,0.1,-,6.77
176,Youness Mokhtar Columbus,30, AM(LR),,5(3),442,1.3,0.4,0.8,-,-,0.3,-,-,6.77
177,Brad Smith Seattle,27, D(L),M(L),26(3),2280,1.9,0.8,0.4,0.2,1.4,0.8,0.3,1,6.77
178,Ola Kamara DC United,32, AM(L),FW,3(3),333,0.7,-,0.3,-,0.3,0.5,-,-,6.77
179,Amro Tarek New York,29, D(C),,19(1),1482,1.2,1.8,0.8,0.3,3.3,0.4,0.6,-,6.77
180,Judson San Jose,28, DMC,,23(4),1916,3.5,1.0,2.1,0.2,1.4,1.2,0.4,-,6.77
181,João Moutinho Orlando City,23, D(L),M(L),15(1),1222,2.3,1.1,1.0,0.3,0.9,1.4,0.1,-,6.77
182,Jordan Harvey Los Angeles FC,37, D(L),,30(2),2547,1.5,1.0,1.2,0.3,1.8,0.6,0.2,-,6.77
