,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
90,Ahmed Touba RKC Waalwijk,23, D(C),,32,2877,1.2,2.1,1.0,0.7,3.7,0.6,0.8,-,6.89
91,Jordy Clasie AZ Alkmaar,30, D(C),DMC,4(4),391,1.1,0.6,0.3,-,1.5,0.5,0.3,-,6.89
92,Bart van Hintum FC Groningen,34, D(CL),,29(2),2514,1.5,1.9,0.7,0.2,2.5,1.1,0.8,-,6.89
93,Willem Janssen FC Utrecht,35, D(C),M(C),20(2),1709,1.1,2.0,0.9,0.2,2.6,0.1,0.8,-,6.88
94,David Neres Ajax,24, AM(CLR),,10(15),1165,0.8,0.4,0.3,-,-,0.7,0.1,-,6.88
95,Ryan Thomas PSV Eindhoven,26, M(CL),,11(5),903,1.4,1.3,0.4,-,0.8,0.9,0.1,-,6.88
96,Bart Vriends Sparta Rotterdam,30, D(C),,23,2020,1.7,2.0,1.0,0.7,4.3,0.8,0.6,-,6.87
97,Quincy Promes Ajax,29, M(CLR),FW,10(9),1020,0.7,0.2,0.2,-,0.1,0.3,0.1,-,6.87
98,Tibor Halilovic SC Heerenveen,26, M(C),,19,1490,1.2,1.1,0.4,-,0.7,0.8,0.2,-,6.87
99,Mats Seuntjens Fortuna Sittard,29, M(CLR),FW,28(3),2477,1.6,0.4,1.6,-,1.2,1.4,0.2,-,6.87
100,Hidde ter Avest FC Utrecht,24, D(R),M(R),18,1427,1.5,1.6,0.8,0.2,1.6,0.5,0.2,-,6.87
101,Glenn Bijl FC Emmen,26, D(R),DMC,30,2573,2.8,1.4,1.5,0.2,2.4,1.1,0.2,-,6.86
102,Sondre Tronstad Vitesse,26, M(CR),,22(1),1792,2.7,2.0,1.0,-,0.8,1.6,0.3,-,6.86
103,Danilho Doekhi Vitesse,23, D(C),,32,2880,2.0,1.6,0.8,0.6,2.9,0.6,0.4,-,6.86
104,Justin Bijlow Feyenoord,23, GK,,14,1260,0.1,0.1,0.1,-,0.5,-,-,-,6.86
105,Jeff Hardeveld Heracles,26, D(CL),,10(4),939,3.2,3.1,0.5,0.1,2.0,0.5,0.1,-,6.86
106,Sai van Wermeskerken PEC Zwolle,27, D(LR),,22,1975,2.0,1.4,0.9,-,2.2,0.8,0.1,-,6.86
107,Danilo Twente,22, FW,,31(2),2656,0.5,0.2,0.5,-,0.5,0.5,-,-,6.86
108,Julio Pleguezuelo Twente,24, D(CR),,18(1),1646,1.4,2.1,1.2,0.9,4.8,0.5,0.5,1,6.85
109,Perr Schuurs Ajax,21, D(C),,20(7),1887,1.2,1.1,0.8,0.5,1.7,0.6,0.2,-,6.85
110,Pablo Rosario PSV Eindhoven,24, DMC,,26(3),2315,2.0,1.8,1.6,-,0.7,1.3,0.3,-,6.85
111,Lisandro Semedo Fortuna Sittard,25, AM(R),,26(8),2294,1.1,0.5,0.4,-,0.4,0.8,0.1,-,6.85
112,Loïs Openda Vitesse,21, FW,,30(3),2435,0.5,0.3,1.0,-,0.1,0.5,-,-,6.85
113,Tyrell Malacia Feyenoord,22, D(L),,24(2),2136,1.5,1.3,1.3,0.1,0.7,0.7,0.2,-,6.85
114,Orkun Kökcü Feyenoord,20, DMC,,20(2),1567,1.0,0.3,0.6,-,0.3,1.2,0.1,-,6.85
115,Bart Ramselaar FC Utrecht,25, AM(CL),,23(4),1936,0.9,0.6,0.5,-,0.1,0.6,-,-,6.85
116,Lucas Schoofs Heracles,24, DMC,,27(3),2316,3.0,1.6,0.6,-,1.3,1.5,0.4,-,6.83
117,Uros Spajic Feyenoord,28, D(C),,19,1613,1.3,1.5,1.3,0.8,3.3,0.4,0.5,-,6.83
118,Mimoun Mahi FC Utrecht,27, AM(CLR),FW,14(8),1334,0.4,0.1,0.7,-,0.4,0.3,-,-,6.83
119,Vito van Crooij VVV-Venlo,25, AM(CLR),FW,30(1),2721,2.1,0.9,1.5,-,0.6,1.4,0.2,-,6.82
120,Michael de Leeuw FC Emmen,35, AM(CLR),FW,29,2561,0.7,0.4,1.5,-,1.2,0.6,0.1,-,6.82
121,Saïd Bakari RKC Waalwijk,27, D(LR),M(L),29(1),2623,2.6,2.4,0.7,0.4,1.9,1.5,0.3,-,6.81
