,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
73,Luis Sinisterra Feyenoord,22, AM(L),FW,13(7),1214,5,1.1,25.2,85.1,-,1.2,-,6.92
74,Dirk Abels Sparta Rotterdam,24, D(R),,28(3),2509,3,1.0,36.9,75.2,0.5,2.9,-,6.92
75,Queensy Menig Twente,26, AM(LR),FW,31(1),2604,2,1.1,19.5,69.3,0.4,0.5,0.1,6.92
76,Jørgen Strand Larsen FC Groningen,21, FW,,28(2),2312,5,0.8,12.5,54.4,0.1,0.2,-,6.91
77,Maximilian Wittek Vitesse,26, D(L),M(LR),32,2735,2,0.7,37.9,78.6,0.7,2.6,-,6.91
78,Ridgeciano Haps Feyenoord,28, D(L),M(L),13(8),1270,2,0.8,30.8,83.8,0.6,1.3,-,6.91
79,Jonas Svensson AZ Alkmaar,28, D(R),DMC,17(1),1414,3,1.2,44.1,84.6,0.3,1.2,-,6.9
80,Laros Duarte Sparta Rotterdam,24, DMC,,10(7),985,1,1.1,30.6,80.4,0.9,2.5,0.1,6.9
81,Eli Dasa Vitesse,28, D(R),M(R),30,2669,6,1.3,39.4,79.6,0.8,1.9,-,6.9
82,Miguel Araujo FC Emmen,27, D(C),,33,2962,1,0.4,63.9,84.9,-,6.0,-,6.89
83,Mohammed Kudus Ajax,21, DMC,,8(9),800,3,0.6,32.8,90.7,0.1,1.4,-,6.89
84,Django Warmerdam FC Utrecht,26, D(L),M(CL),33,2898,2,1,41.2,78.8,0.6,2.2,-,6.89
85,Robin Pröpper Heracles,28, D(C),DMC,30,2661,3,0.5,60.0,82.6,-,6.9,-,6.89
86,Noni Madueke PSV Eindhoven,19, AM(R),FW,7(17),960,4,0.7,14.6,86.3,0.3,0.1,-,6.89
87,Benson Manuel PEC Zwolle,24, AM(LR),,9(4),806,4,1.2,18.3,80.7,0.9,0.7,-,6.89
88,Xandro Schenk Twente,28, D(CL),,3,270,-,-,43.0,72.9,-,3.3,-,6.89
89,Milan van Ewijk ADO Den Haag,21, D(R),,33,2919,3,0.6,36.3,74.4,0.5,2.7,-,6.89
90,Ahmed Touba RKC Waalwijk,23, D(C),,32,2877,1,0.2,45.9,81.1,0.1,3.3,-,6.89
91,Jordy Clasie AZ Alkmaar,30, D(C),DMC,4(4),391,-,0.6,47.5,92.6,-,3.0,-,6.89
92,Bart van Hintum FC Groningen,34, D(CL),,29(2),2514,3,1.0,54.1,80.4,0.7,5.8,-,6.89
93,Willem Janssen FC Utrecht,35, D(C),M(C),20(2),1709,-,0.3,48.6,85.0,-,4.2,-,6.88
94,David Neres Ajax,24, AM(CLR),,10(15),1165,6,0.8,23.2,82.8,0.3,0.4,-,6.88
95,Ryan Thomas PSV Eindhoven,26, M(CL),,11(5),903,2,1.5,33.1,82.2,0.7,1.7,-,6.88
96,Bart Vriends Sparta Rotterdam,30, D(C),,23,2020,-,0.2,38.7,78.2,-,3.8,-,6.87
97,Quincy Promes Ajax,29, M(CLR),FW,10(9),1020,-,1.3,28.9,88.9,0.3,0.5,-,6.87
98,Tibor Halilovic SC Heerenveen,26, M(C),,19,1490,-,0.7,40.4,83.4,0.3,1.3,0.1,6.87
99,Mats Seuntjens Fortuna Sittard,29, M(CLR),FW,28(3),2477,6,1.1,28.4,72.0,0.3,2.0,0.1,6.87
100,Hidde ter Avest FC Utrecht,24, D(R),M(R),18,1427,3,0.7,42.9,78.6,0.2,1.9,-,6.87
101,Glenn Bijl FC Emmen,26, D(R),DMC,30,2573,2,0.9,54.3,80.2,0.4,3.4,0.1,6.86
102,Sondre Tronstad Vitesse,26, M(CR),,22(1),1792,1,0.3,43.1,86.1,-,2.5,-,6.86
103,Danilho Doekhi Vitesse,23, D(C),,32,2880,1,0.2,55.0,85.5,0.1,2.3,0.1,6.86
104,Justin Bijlow Feyenoord,23, GK,,14,1260,-,0.1,29.9,67.3,-,5.6,-,6.86
105,Jeff Hardeveld Heracles,26, D(CL),,10(4),939,-,1.1,32.9,75.2,0.6,1.9,0.1,6.86
106,Sai van Wermeskerken PEC Zwolle,27, D(LR),,22,1975,3,0.7,50.3,81.2,0.5,2.9,-,6.86
107,Danilo Twente,22, FW,,31(2),2656,5,1.0,21.5,70.5,-,0.3,-,6.86
108,Julio Pleguezuelo Twente,24, D(CR),,18(1),1646,1,0.2,52.4,78.6,-,2.6,0.1,6.85
109,Perr Schuurs Ajax,21, D(C),,20(7),1887,-,0.2,60.3,91.8,0.1,3.3,-,6.85
110,Pablo Rosario PSV Eindhoven,24, DMC,,26(3),2315,4,0.8,58.0,82.9,-,3.1,0.1,6.85
111,Lisandro Semedo Fortuna Sittard,25, AM(R),,26(8),2294,4,0.9,18.5,71.9,0.2,0.4,-,6.85
112,Loïs Openda Vitesse,21, FW,,30(3),2435,4,0.9,16.5,70.7,0.2,0.3,-,6.85
113,Tyrell Malacia Feyenoord,22, D(L),,24(2),2136,1,1.0,42.0,84.1,0.7,1.9,-,6.85
114,Orkun Kökcü Feyenoord,20, DMC,,20(2),1567,2,1.5,43.8,85.7,0.9,1.8,-,6.85
115,Bart Ramselaar FC Utrecht,25, AM(CL),,23(4),1936,4,1.4,25.7,79.3,0.2,1.4,-,6.85
116,Lucas Schoofs Heracles,24, DMC,,27(3),2316,2,0.4,33.8,79.1,-,1.8,-,6.83
117,Uros Spajic Feyenoord,28, D(C),,19,1613,-,0.2,56.1,90.7,-,3.6,-,6.83
118,Mimoun Mahi FC Utrecht,27, AM(CLR),FW,14(8),1334,2,1.1,15.5,70.9,0.3,0.3,-,6.83
119,Vito van Crooij VVV-Venlo,25, AM(CLR),FW,30(1),2721,8,2.0,30.1,68.5,1.2,1.8,-,6.82
120,Michael de Leeuw FC Emmen,35, AM(CLR),FW,29,2561,1,0.7,15.3,74.8,-,0.3,-,6.82
121,Saïd Bakari RKC Waalwijk,27, D(LR),M(L),29(1),2623,1,0.8,46.3,77.3,0.5,2.4,-,6.81
122,Nick Marsman Feyenoord,31, GK,,20(1),1801,-,-,27.2,75.0,-,6.2,-,6.81
123,Mark Diemers Feyenoord,28, M(CL),FW,23(6),1979,3,1.1,38.5,86.5,0.5,1.6,-,6.8
124,Jari Vlak FC Emmen,23, DMC,,15(2),1305,1,0.3,40.6,76.8,-,2.3,-,6.79
125,Piet Velthuizen Fortuna Sittard,35, GK,,2,113,-,-,18.5,56.8,-,5.0,-,6.79
126,Evert Linthorst VVV-Venlo,21, AM(C),,15(1),1309,3,0.7,35.8,81.3,0.1,2.9,0.1,6.79
127,Bryan Linssen Feyenoord,31, AM(CLR),FW,27(2),2051,2,1.1,14.5,71.0,0.1,0.4,-,6.79
128,Cyril Ngonge RKC Waalwijk,21, AM(R),,15(5),1180,2,1,15.5,73.2,1.1,0.7,-,6.78
129,Sebastian Polter Fortuna Sittard,30, AM(R),FW,31(1),2641,4,0.9,21.6,57.8,0.1,0.2,0.1,6.78
130,Alessio Da Cruz FC Groningen,24, AM(CLR),FW,18(4),1480,3,0.9,14.6,76.9,0.4,0.6,-,6.78
131,Armando Broja Vitesse,20, FW,,21(9),1875,2,0.6,10.0,75.6,0.1,-,-,6.78
132,Luka Adzic FC Emmen,23, AM(L),,12,819,-,0.4,18.7,81.7,0.6,0.3,-,6.78
133,Mitchell van Bergen SC Heerenveen,22, AM(LR),FW,32,2728,1,1.5,25.2,78.8,0.9,0.6,-,6.78
134,Mohamed Ihattaren PSV Eindhoven,19, AM(CLR),,13(9),1077,2,1.2,28.8,80.3,0.4,2.3,-,6.77
135,Sven van Beek Willem II,27, D(C),,13(1),1141,-,0.1,42.9,78.7,0.1,4.3,-,6.77
136,Matús Bero Vitesse,26, M(CLR),,26(1),2288,5,1.5,37.5,80.9,0.1,1.1,0.1,6.77
137,Dani de Wit AZ Alkmaar,23, AM(C),,12(8),1210,3,0.7,26.3,74.7,0.1,0.2,-,6.76
138,Jurgen Ekkelenkamp Ajax,21, AM(C),,4(11),651,2,0.5,19.3,81.3,-,0.3,0.1,6.76
139,Yuta Nakayama PEC Zwolle,24, D(CL),DMC,25(7),2361,1,0.5,45.2,81.9,0.1,2.7,-,6.76
140,Kik Pierie Twente,21, D(CL),,24,2112,-,0.1,64.3,80.0,-,5.5,-,6.76
141,Sven Mijnans Sparta Rotterdam,21, AM(R),,20(11),1674,3,1.3,22.8,74.3,0.8,1.2,0.1,6.76
142,Pol Llonch Willem II,29, DMC,,26(1),2226,-,0.5,37.9,80.9,0.1,1.5,-,6.75
143,Tesfaldet Tekie Fortuna Sittard,24, DMC,,31(2),2691,3,0.8,37.5,78.4,0.4,2.8,0.1,6.75
144,Jordan Teze PSV Eindhoven,22, D(CR),,31(2),2825,1,0.5,67.5,88.3,0.1,3.2,-,6.75
145,Gijs Smal Twente,24, D(L),,13(9),1369,3,1.4,31.6,73.7,1.6,1.9,-,6.75
146,Koen Bucker Heracles,25, Goalkeeper,,2,180,-,-,22.0,47.7,-,4.0,-,6.74
147,Joris van Overeem FC Utrecht,27, M(CLR),,29(1),2307,-,0.5,43.3,79.6,-,2.4,0.1,6.74
148,Adil Auassar Sparta Rotterdam,35, D(C),M(CL),29(1),2416,1,0.6,34.5,66.2,-,3.1,-,6.74
149,Ben Rienstra Fortuna Sittard,31, D(C),M(C),30,2593,-,0.5,42.4,76.3,0.1,2.0,-,6.73
150,Wouter Burger Sparta Rotterdam,20, AM(C),,9(9),759,1,0.4,20.0,72.2,0.1,1.2,-,6.73
151,Melle Meulensteen RKC Waalwijk,22, D(C),,33,2946,2,0.4,55.5,84.0,0.1,5.4,-,6.73
152,Zakaria Labyad Ajax,28, AM(CLR),FW,12(10),961,5,1.3,18.6,82.0,0.5,0.8,-,6.73
153,Kerim Frei FC Emmen,27, AM(LR),,17,1461,1,0.7,35.1,84.6,0.1,0.9,-,6.73
154,Sebastian Holmén Willem II,29, D(CR),,29(1),2566,1,0.2,44.3,79.8,-,5.4,-,6.73
155,Lasse Schöne SC Heerenveen,35, M(CLR),,12,909,1,1.2,44.0,84.1,1,1.8,0.2,6.73
156,Kwasi Okyere Wriedt Willem II,27, FW,,20(4),1824,2,0.6,16.1,65.1,0.2,0.3,-,6.73
157,Tyronne Ebuehi Twente,25, D(LR),,33,2842,1,0.8,43.0,84.0,0.4,2.3,-,6.72
158,Caner Cavlan FC Emmen,29, D(L),DMC,32,2845,3,1.3,50.8,81.4,1,3.2,-,6.72
159,Marco Rente Heracles,24, D(C),,20(5),1762,1,0.2,39.2,79.2,0.1,3.0,-,6.72
160,Danny Post VVV-Venlo,32, DMC,,30,2564,1,0.3,36.5,72.1,0.1,2.5,-,6.72
161,Yanick van Osch Fortuna Sittard,24, GK,,26,2333,-,-,37.1,61.1,-,9.9,-,6.72
162,Siem de Jong SC Heerenveen,32, AM(CL),FW,17(2),1368,2,0.5,23.1,74.7,0.1,0.8,0.1,6.72
163,John Goossens ADO Den Haag,33, M(CLR),,18(6),1610,3,1,29.5,75.7,0.8,3.1,-,6.72
164,Gianni Zuiverloon ADO Den Haag,34, D(CR),,7(1),643,-,-,34.0,84.2,-,1.8,-,6.71
165,Ibrahim Dresevic SC Heerenveen,24, D(C),DMC,20(10),1905,3,0.4,44.1,86.3,0.1,3.2,-,6.71
166,Mauro Júnior PSV Eindhoven,22, M(CLR),,12(7),1014,1,0.8,26.5,81.9,0.3,0.6,-,6.71
167,Sergio Padt FC Groningen,31, GK,,34,3060,-,-,43.7,64.2,-,9.0,-,6.71
168,Leonel Miguel FC Groningen,20, Defender,,1,83,-,-,61.0,90.2,-,2.0,-,6.71
169,Roel Janssen Fortuna Sittard,31, D(CL),,30,2622,-,0.4,56.1,79.0,-,5.0,-,6.71
170,Nicolai Jørgensen Feyenoord,30, FW,,12(11),1189,-,1,16.0,77.1,0.1,0.4,-,6.7
171,Lucas Woudenberg SC Heerenveen,27, D(L),,23(6),2188,-,0.6,32.2,79.4,0.7,1.7,-,6.7
172,Tom Beugelsdijk Sparta Rotterdam,31, D(C),,22(7),2014,-,0.1,27.2,77.4,-,2.2,-,6.69
173,Mike te Wierik FC Groningen,29, D(CR),,14(1),1251,-,0.1,42.7,83.9,0.1,2.9,-,6.69
174,Bram van Polen PEC Zwolle,36, D(CLR),,22(3),1969,-,0.2,53.5,85.6,0.1,4.8,-,6.69
175,Paul Quasten RKC Waalwijk,36, D(L),,20(2),1547,-,0.5,40.6,80.4,0.7,4.0,-,6.69
176,Giacomo Quagliata Heracles,21, D(L),,24(1),2062,2,0.6,32.5,75.4,0.6,1.6,-,6.68
177,Luca de la Torre Heracles,23, M(CL),,26(6),2381,2,0.5,37.7,87.8,0.1,0.9,-,6.68
178,Pantelis Hatzidiakos AZ Alkmaar,24, D(C),,22(1),1911,1,-,67.0,87.6,-,3.7,-,6.67
179,Bryan Smeets Sparta Rotterdam,28, M(C),,21(5),1567,3,1.4,27.9,77.0,0.7,1.5,0.1,6.67
180,Jayden Oosterwolde Twente,20, D(CL),,24(2),1950,3,0.5,31.7,68.8,0.5,2.2,0.1,6.66
181,Michiel Kramer ADO Den Haag,32, FW,,21(8),1973,2,0.6,17.4,63.9,-,0.3,-,6.66
182,Ante Coric VVV-Venlo,24, Midfielder,,0(1),27,-,2,14.0,92.9,3,1.0,-,6.65
183,Ramiz Zerrouki Twente,23, DMC,,23(8),1956,2,0.4,35.9,80.1,0.1,3.1,-,6.65
184,Xavier Mous PEC Zwolle,26, GK,,15,1350,-,0.1,31.1,66.6,-,6.8,-,6.65
185,Mohamed El Hankouri FC Groningen,24, M(CLR),,22(11),2138,2,0.8,16.8,72.4,0.5,0.9,-,6.65
186,Rodney Kongolo SC Heerenveen,23, DMC,,23(8),2154,4,0.5,29.9,83.4,-,0.8,0.1,6.64
187,Lazaros Rota Fortuna Sittard,24, D(R),,20(4),1747,-,0.5,31.0,79.9,0.2,1.7,-,6.64
188,Nick Viergever PSV Eindhoven,32, D(CL),DMC,13(4),1095,-,-,53.3,88.5,0.1,1.6,-,6.64
189,Timo Baumgartl PSV Eindhoven,25, D(C),,6(2),552,-,0.4,49.1,84.2,-,2.5,-,6.63
190,Oussama Darfalou Vitesse,28, FW,,15(17),1464,2,0.6,11.1,65.2,-,0.3,-,6.63
191,Bruno Martins Indi AZ Alkmaar,29, D(CL),,27,2282,1,0.3,69.3,90.6,-,3.0,-,6.63
192,Leroy Fer Feyenoord,31, M(CL),,22(3),1884,-,0.6,45.2,89.4,-,1.9,-,6.63
193,Simon Gustafson FC Utrecht,26, AM(C),,17(3),1469,1,1.5,31.4,82.1,0.7,2.2,0.1,6.63
