,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
34,7.18,Nani Orlando City,35, M(CLR),13(3),1156,5,2,2.8,1.7,1.8,1.4,0.2,0.3,2.2
35,7.17,Romell Quioto Montreal,30, AM(L),15(1),1285,7,5,2.9,1.3,0.9,1.2,0.8,2.4,2.7
36,7.17,Kyle Duncan New York,24, D(LR),18(2),1638,3,2,0.5,0.6,1.8,1.4,-,1.2,2.2
37,7.16,Mark McKenzie Philadelphia,22, D(C),19,1710,2,1,0.6,0.2,0.5,0.4,-,0.1,0.6
38,7.15,Cristian Roldan Seattle,26, M(CR),17(1),1530,-,5,1.2,1.4,1.4,1.3,0.1,1.4,1.9
39,7.15,Brian Rodríguez Los Angeles FC,21, AM(LR),15(1),1177,1,3,2.2,2,3.2,1.2,0.5,1.6,2.8
40,7.14,Vito Wormgoor Columbus,33, D(C),1,90,-,-,-,-,-,1,-,-,1
41,7.14,Alexandru Mitrita New York City FC,26, AM(CL),7(3),599,4,1,2,1.3,2.1,1.7,-,1.6,2.2
42,7.13,Maxime Chanot New York City FC,31, D(C),18,1533,-,-,0.9,0.2,0.3,0.3,0.1,0.2,0.7
43,7.13,Andrés Ricaurte FC Dallas,30, M(C),13(1),1112,1,1,1.2,2.1,1,3.2,-,1.1,1
44,7.13,Bryan Meredith Vancouver,32, Goalkeeper,3,270,-,-,-,-,-,-,-,-,-
45,7.13,Cole Bassett Colorado,20, M(C),11(1),922,5,4,1.8,0.8,0.8,0.8,0.2,1.1,1.4
46,7.12,Yéimar Gómez Seattle,29, D(C),16,1396,2,-,1,0.1,0.4,0.7,-,0.2,0.3
47,7.12,Pity Martínez Atlanta United,28, AM(CLR),4,328,2,1,2.3,1.3,2,3.3,0.3,1.3,4
48,7.11,Walker Zimmerman Nashville SC,28, D(C),22,1955,3,-,0.9,0.4,0.3,0.2,-,0.1,0.3
49,7.11,Bojan Montreal,31, AM(CLR),12(2),992,4,1,1.6,1.1,3.1,1.4,0.4,1.6,1.7
50,7.1,Lucas Zelarayán Columbus,29, AM(C),10(3),894,4,1,1.4,1.8,2.5,1.2,-,2.2,2.8
51,7.1,Gastón Giménez Chicago,30, D(C),14(1),1287,-,2,1.2,1.0,1.1,0.8,0.1,0.8,0.8
52,7.09,Ryan Hollingshead FC Dallas,30, D(LR),19(1),1731,4,-,1.6,0.9,0.9,0.9,0.1,0.6,1.7
53,7.09,Thiago Santos FC Dallas,32, DMC,19(1),1624,-,-,0.4,0.5,1.2,2.4,-,0.9,1.3
54,7.08,Alejandro Bedoya Philadelphia,34, M(CR),18,1569,2,1,1.6,1.3,0.2,0.6,0.4,0.7,0.9
55,7.08,Chris Mueller Orlando City,25, AM(LR),14(5),1227,7,6,1.5,1.4,0.8,1.6,0.1,1.2,2.1
56,7.08,João Moutinho Orlando City,23, D(L),5,415,-,1,1.0,1.0,1.6,0.8,-,0.6,1.2
57,7.07,Daryl Dike Orlando City,21, FW,15(2),1223,8,2,1.8,0.4,0.7,1.8,0.4,0.9,2.9
58,7.07,Artur Columbus,25, M(C),18(1),1632,2,2,0.5,0.5,0.7,0.6,0.1,0.5,0.7
59,7.06,Ján Gregus Minnesota United,30, M(C),15,1329,1,4,1.9,1.6,0.4,0.8,-,0.6,0.9
60,7.06,Maximiliano Moralez New York City FC,34, AM(CLR),9(2),788,1,4,1.2,2.3,0.7,1.9,0.4,1.2,2.2
