,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
108,Francisco Calvo Chicago,29, D(CL),,19,1656,1,0.4,61.5,79.7,-,6.1,0.1,6.94
109,Teal Bunbury New England,31, AM(LR),FW,18(1),1389,1,0.7,22.7,77.1,-,0.4,-,6.93
110,James Sands New York City FC,21, D(C),DMC,13,1161,1,0.5,57.4,87.4,-,2.3,-,6.93
111,Hassani Dotson Minnesota United,24, D(LR),M(CL),10(5),1008,1,0.4,36.1,83.8,0.1,1.9,-,6.93
112,Álvaro Medrán Chicago,27, M(C),,20,1742,3,1.7,56.9,80.7,1.4,4.6,0.2,6.92
113,Fabian Herbers Chicago,28, AM(CR),FW,16(2),1163,1,1.2,26.4,78.5,0.3,0.2,0.1,6.92
114,Gianluca Busio Kansas City,19, M(C),,14(2),1200,3,0.8,39.4,85.3,0.7,2.3,-,6.92
115,Florian Valot New York,28, M(CLR),,14(6),1310,2,0.9,36.5,76.3,0.6,1.3,-,6.92
116,Jack Price Colorado,28, DMC,,12(2),1155,4,1.9,64.5,90.4,1.5,5.2,-,6.91
117,Kei Kamara Colorado,37, AM(LR),FW,3(3),325,-,0.8,16.8,81.2,-,0.5,-,6.91
118,Bakaye Dibassy Minnesota United,32, D(CL),,10(1),859,-,0.5,33.2,77.8,0.3,1.1,-,6.91
119,Khiry Shelton Kansas City,28, AM(LR),FW,14(3),1185,1,1.5,19.9,76.4,0.1,0.4,0.1,6.91
120,Albert Rusnák Salt Lake,27, AM(CLR),FW,13(1),1180,2,2.4,37.2,87.1,1.9,2.2,0.1,6.9
121,Yimmi Chara Portland,30, AM(CLR),,11(7),1096,3,0.9,28.8,86.7,0.3,0.8,-,6.9
122,Olivier Mbaizo Philadelphia,24, D(R),,12(2),1057,1,0.8,38.1,77.9,0.9,2.0,-,6.9
123,Cristian Espinoza San Jose,26, AM(LR),,19(1),1567,6,2,33.6,80.1,1.6,2.1,-,6.9
124,Pablo Ruiz Salt Lake,22, DMC,,14(2),1214,1,1,44.6,84.7,0.9,3.9,-,6.9
125,Eryk Williamson Portland,24, DMC,,15(3),1240,3,0.5,28.7,84.5,0.1,1.3,0.1,6.9
126,Felipe Mora Portland,28, FW,,13(6),1206,2,0.7,16.4,75.9,-,0.5,-,6.89
127,Dayne St. Clair Minnesota United,24, GK,,13,1170,-,-,26.1,49.0,-,5.9,-,6.89
128,Sebastián Blanco Portland,33, AM(CLR),,5(1),396,1,1.2,36.7,73.6,0.5,3.3,-,6.88
129,Julian Araujo L.A. Galaxy,20, D(R),M(R),14,1101,2,1,30.0,76.9,0.8,0.9,-,6.87
130,Sean Davis New York,28, M(CR),,10(1),816,-,0.8,41.0,77.6,0.4,0.9,-,6.87
131,Eddie Segura Los Angeles FC,24, D(C),,18(1),1616,-,0.2,62.6,85.0,-,3.4,-,6.87
132,Nick Lima San Jose,27, D(LR),,16(1),1298,2,0.6,36.0,81.0,0.6,2.8,-,6.87
133,Saphir Taïder Montreal,29, M(CL),,8,685,5,2.1,51.6,87.9,0.5,4.6,0.3,6.87
134,Reggie Cannon FC Dallas,23, D(R),M(R),5,450,1,0.6,37.0,87.0,1.2,0.4,-,6.86
135,Antônio Carlos Orlando City,28, D(C),,15(2),1364,1,0.1,43.1,83.1,-,4.5,-,6.86
136,Sean Johnson New York City FC,32, GK,,20,1800,-,0.1,29.6,70.1,-,4.9,-,6.86
