,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
62,Emiliano Martínez Aston Villa,29, GK,,38,3420,-,0.1,29.8,62.5,-,7.0,-,7.0
63,André-Frank Zambo Anguissa Fulham,26, DMC,,29(7),2587,3,0.8,39.3,84.2,0.1,1.1,0.1,6.99
64,Yves Bissouma Brighton,25, M(C),,35(1),3114,-,0.4,46.8,87.4,-,2.1,-,6.98
65,Richarlison Everton,24, AM(CLR),FW,33(1),2872,3,0.7,22.0,70.0,0.1,0.4,0.1,6.98
66,Harvey Barnes Leicester,23, AM(CL),,22(3),1950,4,1.0,24.2,75.2,0.1,0.7,-,6.98
67,Alex Telles Man Utd,28, D(L),M(L),8(1),692,2,1.3,50.9,84.7,1.3,1.6,0.1,6.97
68,Okay Yokuslu West Brom,27, D(C),DMC,15(1),1319,1,0.4,33.1,82.5,-,1.9,-,6.96
69,Jack Harrison Leeds,25, AM(LR),FW,34(2),2858,8,1.6,27.5,74.0,0.9,0.9,-,6.96
70,Matheus Pereira West Brom,25, AM(CLR),,30(3),2582,6,1.8,28.5,79.6,1.1,1.5,0.2,6.96
71,Joel Matip Liverpool,30, D(C),,9(1),693,2,0.3,54.6,87.7,-,1.4,0.1,6.96
72,Vladimir Coufal West Ham,29, D(R),M(R),34,3055,7,1.3,37.6,71.2,1,1,-,6.95
73,Pierre-Emile Højbjerg Tottenham,26, M(C),,38,3420,4,0.4,72.8,88.5,-,2.8,-,6.95
74,Luke Ayling Leeds,30, D(CR),M(R),38,3400,-,0.7,62.7,79.0,0.4,4.6,0.1,6.94
75,Scott Carson Man City,36, GK,,1,90,-,-,10.0,90.0,-,-,-,6.94
76,Reece James Chelsea,21, D(CR),DMC,25(7),2367,2,1.3,53.0,88.4,1.1,2.3,-,6.94
77,Oriol Romeu Southampton,30, DMC,,20(1),1768,1,0.7,60.7,82.6,0.1,1.8,-,6.93
78,Matthew Cash Aston Villa,24, D(R),M(CLR),28,2380,2,0.8,36.0,75.7,0.8,2,-,6.93
79,Scott McTominay Man Utd,24, D(C),DMC,24(8),2128,1,0.5,40.6,87.0,0.1,2.1,-,6.93
80,Ahmed Hegazi West Brom,30, D(C),,1,90,-,-,56.0,67.9,-,4.0,-,6.93
81,Ben Mee Burnley,32, D(CL),,30,2694,-,0.2,37.4,71.1,-,3.7,-,6.93
82,Anthony Elanga Man Utd,19, Forward,,2,156,-,0.5,26.5,75.5,0.5,1.0,-,6.93
83,Fred Man Utd,28, M(C),,27(3),2397,-,0.8,60.2,87.7,-,3.3,0.1,6.92
84,Timothy Fosu-Mensah Man Utd,23, D(CR),,1,81,-,2,66.0,90.9,1,1.0,-,6.92
85,César Azpilicueta Chelsea,32, D(CLR),M(R),24(2),2191,2,1,72.6,86.9,0.3,1.5,0.1,6.92
86,Ademola Lookman Fulham,24, AM(CLR),FW,31(3),2756,4,1.8,30.9,80.9,0.9,0.6,0.1,6.92
87,Michael Keane Everton,28, D(CR),,33(2),2990,1,0.2,55.4,87.2,-,3.7,-,6.92
88,Rúben Dias Man City,24, D(C),,32,2845,-,0.1,84.8,93.2,-,3.4,-,6.91
89,Thiago Silva Chelsea,37, D(C),,23,1938,-,0.2,84.3,93.0,-,5.0,-,6.91
90,Raúl Jiménez Wolves,30, FW,,10,825,-,0.5,25.9,79.2,0.1,1.5,-,6.91
91,Illan Meslier Leeds,21, GK,,35,3150,-,-,30.9,77.1,-,4.8,-,6.91
92,Diego Llorente Leeds,28, D(C),DMC,14(1),1206,-,0.3,47.9,83.3,-,2.7,0.1,6.9
93,Matt Targett Aston Villa,26, D(L),M(L),38,3405,2,1,44.3,78.0,0.7,3.1,-,6.9
94,Marcos Alonso Chelsea,30, D(CL),M(L),11(2),960,-,1.2,39.1,82.5,0.2,1.2,-,6.9
95,Nélson Semedo Wolves,28, D(LR),M(R),34,2988,1,0.6,46.1,81.0,0.5,1.6,-,6.9
96,Diogo Jota Liverpool,24, AM(CLR),FW,12(7),1113,-,0.6,22.4,74.9,0.1,0.4,0.1,6.89
97,Jannik Vestergaard Southampton,29, D(C),,29(1),2575,-,0.2,58.8,83.6,-,3.6,-,6.89
98,Arthur Masuaku West Ham,28, D(L),M(L),12,1011,2,0.9,39.7,83.2,1,0.9,-,6.89
99,Alexandre Lacazette Arsenal,30, M(CLR),FW,22(9),1931,2,0.7,16.6,78.8,-,0.4,0.1,6.89
100,Andros Townsend Crystal Palace,30, AM(LR),FW,25(9),2259,5,1.2,20.7,73.7,1.6,0.5,-,6.88
101,John McGinn Aston Villa,27, M(C),,37,3330,5,1.1,36.9,79.4,0.3,3.3,0.1,6.88
102,Wilfried Zaha Crystal Palace,29, AM(LR),FW,29(1),2614,2,1.0,24.5,78.3,0.2,0.3,0.1,6.88
103,Andrew Robertson Liverpool,27, D(L),M(L),38,3386,7,1.7,70.5,84.4,1.6,2.1,-,6.88
104,Bukayo Saka Arsenal,20, D(L),M(CLR),30(2),2562,3,1.2,30.6,81.8,1,0.4,-,6.88
105,Jorginho Chelsea,29, DMC,,23(5),2014,1,0.9,63.7,89.2,0.1,2.7,0.1,6.88
106,Jonny Evans Leicester,33, D(CL),,28,2476,2,0.4,66.1,85.9,-,3.9,-,6.87
107,Romain Saïss Wolves,31, D(C),DMC,27,2408,-,0.2,52.9,81.2,0.1,4.0,-,6.87
108,Stuart Dallas Leeds,30, D(LR),M(CLR),38,3411,2,0.7,51.6,83.7,0.3,2.0,-,6.87
109,Dwight McNeil Burnley,21, M(LR),,34(2),3071,5,1.3,30.7,78.9,1.4,1.8,-,6.87
110,Nick Pope Burnley,29, GK,,32,2880,-,0.1,26.2,44.6,-,8.7,-,6.86
111,Tanguy Ndombele Tottenham,24, M(C),,28(5),2108,2,0.4,35.5,85.6,0.1,0.6,0.1,6.86
112,Yerry Mina Everton,27, D(C),,23(1),1939,-,-,52.4,90.1,-,2.2,-,6.86
113,N'Golo Kanté Chelsea,30, DMC,,24(6),2146,2,0.7,51.0,86.5,-,2.3,-,6.86
114,Toby Alderweireld Tottenham,32, D(CR),,25,2241,-,0.3,57.5,82.5,-,4.4,0.1,6.86
115,Dani Ceballos Arsenal,25, M(CL),,17(8),1616,3,1.1,50.9,87.2,0.4,2.8,0.1,6.85
116,Bertrand Traoré Aston Villa,26, AM(R),FW,29(7),2338,6,1,19.4,77.7,0.6,1.2,0.1,6.85
117,Fikayo Tomori Chelsea,23, D(CR),,0(1),45,-,-,29.0,96.6,-,-,-,6.85
118,Gaetano Berardi Leeds,33, D(CLR),,1(1),114,-,-,27.5,83.6,-,1,-,6.85
119,Mateo Kovacic Chelsea,27, M(CL),,21(6),1820,1,0.8,65.3,90.8,-,3.5,0.1,6.84
120,Tom Cairney Fulham,30, M(CR),,9(1),759,1,1.7,59.4,92.3,1.2,4,-,6.84
121,Joël Veltman Brighton,29, D(CR),M(R),25(3),2283,1,0.8,44.6,77.7,0.7,2.5,-,6.84
122,Martin Dúbravka Newcastle,32, GK,,13,1170,-,-,28.5,70.1,-,5.6,-,6.84
123,Oleksandr Zinchenko Man City,24, D(L),M(CLR),15(5),1474,-,0.8,68.4,89.8,0.3,1.5,-,6.84
124,Antonee Robinson Fulham,24, D(L),M(L),24(4),2162,-,1,37.4,74.9,1,1.2,-,6.84
125,Kelechi Iheanacho Leicester,25, AM(C),FW,16(9),1458,2,1.1,20.2,79.8,0.2,0.4,0.2,6.84
126,João Virgínia Everton,22, GK,,0(1),47,-,-,12.0,41.7,-,2,-,6.84
127,Terence Kongolo Fulham,27, D(CL),,1,90,-,-,44.0,81.8,1,-,-,6.84
128,Anthony Martial Man Utd,25, AM(LR),FW,17(5),1488,3,0.8,21.9,84.4,-,0.2,-,6.84
129,James McArthur Crystal Palace,34, M(CLR),,17(1),1471,2,0.8,42.9,81.7,0.1,1.9,-,6.84
130,Lewis Dunk Brighton,30, D(C),,33,2933,-,0.3,67.4,89.4,-,5.5,-,6.84
131,Kyle Walker-Peters Southampton,24, D(LR),,30,2649,2,0.5,44.1,80.9,0.2,1.1,-,6.84
132,Danny Ings Southampton,29, AM(C),FW,26(3),2185,4,0.8,17.3,66.3,0.1,0.4,-,6.84
133,Callum Wilson Newcastle,29, FW,,23(3),2086,5,0.7,13.1,69.5,-,0.1,-,6.84
134,Trézéguet Aston Villa,27, AM(LR),,12(9),1166,1,0.6,13.7,75.7,0.2,0.6,-,6.83
135,Timothy Castagne Leicester,25, D(CR),M(LR),27,2346,3,0.8,49.0,84.3,0.3,0.9,-,6.82
136,Pascal Groß Brighton,30, M(CR),FW,27(7),2482,8,2.1,41.9,81.6,2,2.7,-,6.82
137,Fabinho Liverpool,28, D(CR),DMC,28(2),2565,-,0.1,70.3,90.3,-,3.3,-,6.82
138,Stuart Armstrong Southampton,29, AM(CLR),,32(1),2774,5,1.1,37.5,80.7,0.2,1.0,0.1,6.82
139,Jordan Henderson Liverpool,31, D(C),M(CLR),20(1),1708,1,0.7,86.4,87.3,0.2,4.0,0.1,6.82
140,Aaron Cresswell West Ham,31, D(CL),M(L),36,3172,8,1.6,45.9,78.9,1.6,3.3,-,6.81
141,Chris Wood Burnley,29, FW,,32(1),2750,3,0.7,19.8,65.1,-,0.1,-,6.81
142,Eberechi Eze Crystal Palace,23, AM(CLR),,29(5),2565,6,1.3,32.0,84.2,0.7,0.7,-,6.81
143,Rúben Neves Wolves,24, DMC,,31(5),2680,1,0.9,54.9,84.4,0.1,5.3,-,6.81
144,Fernandinho Man City,36, D(CR),DMC,12(9),1185,2,0.7,48.3,87.2,-,2.2,-,6.81
145,Timo Werner Chelsea,25, AM(CLR),FW,29(6),2608,8,1.0,22.3,78.8,0.3,0.2,-,6.81
146,Pascal Struijk Leeds,22, D(C),DMC,22(5),2074,-,0.1,48.0,86.0,-,2.3,-,6.81
147,Tyrone Mings Aston Villa,28, D(CL),,36,3195,2,0.2,46.6,77.9,-,3.7,-,6.81
148,Jonjo Shelvey Newcastle,29, M(C),,29(1),2617,3,1.2,46.7,76.4,0.7,5.8,-,6.8
149,Leandro Trossard Brighton,26, AM(CLR),FW,30(5),2622,5,1.4,28.5,78.8,0.7,1.6,-,6.8
150,Andreas Christensen Chelsea,25, D(C),DMC,15(2),1375,-,0.4,67.1,91.3,-,3.1,0.1,6.8
151,Joachim Andersen Fulham,25, D(C),,30(1),2730,1,0.3,63.2,81.4,-,5.8,-,6.79
152,Karl Darlow Newcastle,31, GK,,25,2250,-,-,25.1,45.7,-,7.4,-,6.79
153,Calum Chambers Arsenal,26, D(CR),DMC,8(2),752,2,1.1,47.9,83.9,0.6,1.3,0.1,6.79
154,Rob Holding Arsenal,26, D(CR),,28(2),2558,1,0.1,60.1,87.0,-,3.1,-,6.79
155,Anwar El Ghazi Aston Villa,26, AM(LR),FW,17(11),1617,-,0.9,18.7,75.3,0.8,0.4,-,6.78
156,Conor Hourihane Aston Villa,30, M(C),,3(1),228,1,1.3,33.3,87.2,1,1.0,-,6.78
157,Abdoulaye Doucouré Everton,28, M(C),,29,2452,3,0.7,46.2,85.1,-,1.3,0.1,6.78
158,Amad Diallo Man Utd,19, Forward,,2(1),167,1,0.7,21.0,82.5,-,0.7,0.3,6.78
159,Pablo Fornals West Ham,25, M(CLR),,31(2),2583,4,0.9,32.1,79.4,0.2,0.8,-,6.78
160,Pierre-Emerick Aubameyang Arsenal,32, M(CLR),FW,26(3),2337,3,0.8,21.5,78.0,0.3,0.4,-,6.78
161,Ben Godfrey Everton,23, D(CLR),,29(2),2683,2,0.1,39.3,84.7,0.1,1.2,-,6.78
162,Che Adams Southampton,25, AM(CL),FW,30(6),2675,5,1.0,16.9,70.3,-,0.7,0.2,6.77
163,Adam Webster Brighton,26, D(C),,29,2595,-,0.2,63.4,80.9,-,3.4,-,6.77
164,Kyle Bartley West Brom,30, D(C),,28(2),2584,1,0.2,27.6,77.1,-,1.7,-,6.77
165,Emile Smith Rowe Arsenal,21, AM(CL),,18(2),1448,4,1.4,36.3,88.7,0.1,0.6,0.1,6.77
166,Allan Everton,30, DMC,,23(1),2052,-,0.7,44.0,85.6,-,2.4,-,6.77
167,Kyle Walker Man City,31, D(CR),M(R),22(2),1947,1,0.3,72.2,90.2,0.1,3.7,-,6.77
168,Josh Brownhill Burnley,25, M(CR),,32(1),2816,1,0.5,35.5,78.3,0.1,1.0,-,6.76
169,Aymeric Laporte Man City,27, D(CL),,14(2),1343,-,0.3,79.6,91.1,-,2.9,-,6.76
170,Ferran Torres Man City,21, AM(LR),FW,15(9),1306,2,0.8,16.9,85.2,0.1,0.4,-,6.76
171,Nicolas Pépé Arsenal,26, AM(LR),FW,16(13),1614,1,0.4,21.7,81.1,0.2,0.2,-,6.76
172,Ross Barkley Aston Villa,27, M(CLR),,18(6),1537,1,1.6,30.3,84.8,0.8,1.4,-,6.75
173,Hugo Lloris Tottenham,34, GK,,38,3420,-,-,23.6,69.3,-,4.8,-,6.75
174,Willy Boly Wolves,30, D(C),,21,1880,1,0.1,49.3,82.5,-,1.9,-,6.75
175,Dan Burn Brighton,29, D(CL),M(L),23(4),2060,-,0.4,40.7,75.6,0.3,1.1,-,6.75
176,Sébastien Haller West Ham,27, FW,,10(6),935,-,0.6,15.3,64.1,0.1,0.6,-,6.75
177,Ezri Konsa Aston Villa,24, D(CR),,35(1),3193,-,0.1,35.8,84.7,-,2.1,-,6.75
178,Jarrod Bowen West Ham,24, AM(CLR),FW,30(8),2579,5,0.8,16.3,74.4,0.8,0.8,-,6.75
179,Matt Doherty Tottenham,29, D(LR),M(R),13(4),1239,2,0.6,39.8,80.5,0.5,1.2,-,6.75
180,Thomas Partey Arsenal,28, D(R),M(CR),18(6),1537,2,0.5,47.5,87.2,-,2.7,0.1,6.75
181,Joelinton Newcastle,25, AM(LR),FW,23(8),1990,2,0.5,18.8,73.0,-,0.3,-,6.75
182,Christian Pulisic Chelsea,23, M(CLR),,18(9),1738,2,0.9,24.5,82.9,0.2,0.4,-,6.74
183,Marc Albrighton Leicester,32, M(LR),,17(14),1744,5,1.2,24.2,73.3,0.7,1.3,-,6.74
184,Çaglar Söyüncü Leicester,25, D(C),,19(4),1816,-,0.3,60.1,88.0,0.2,2.1,-,6.74
185,Alphonse Areola Fulham,28, GK,,36,3240,-,-,23.3,68.7,-,4.4,-,6.74
186,Christian Fuchs Leicester,35, D(CL),M(L),8(1),702,-,0.1,58.2,82.1,0.1,2.7,-,6.74
187,Sam Johnstone West Brom,28, GK,,37,3330,1,-,29.9,43.2,-,8.4,-,6.74
188,Alisson Liverpool,29, GK,,33,2970,-,-,29.9,84.6,-,3.2,-,6.73
189,Granit Xhaka Arsenal,29, D(L),M(C),29(2),2522,2,0.5,70.6,90.2,0.1,4.2,0.1,6.73
190,Tosin Adarabioyo Fulham,24, D(CR),,33,2954,-,0.2,57.7,86.2,-,3.6,-,6.73
191,Angelo Ogbonna West Ham,33, D(C),,28,2493,-,0.1,36.4,81.3,-,1.8,-,6.73
192,Gabriel Magalhães Arsenal,23, D(C),,22(1),1997,-,0.1,67.4,85.7,-,2.2,-,6.73
193,Callum Hudson-Odoi Chelsea,21, M(CLR),,10(13),1060,3,1.4,25.0,86.1,0.7,1.2,-,6.73
194,Tariq Lamptey Brighton,21, D(R),M(R),11,891,1,0.9,34.0,78.1,0.9,0.4,-,6.73
195,David McGoldrick Sheff Utd,33, AM(CLR),FW,28(7),2402,1,0.5,26.0,74.7,0.1,0.7,-,6.72
196,Mason Greenwood Man Utd,20, AM(R),FW,21(10),1826,2,0.5,23.0,85.0,0.2,0.8,0.1,6.72
197,Martin Ødegaard Arsenal,22, AM(CR),,9(5),866,2,1.4,35.4,90.9,0.7,0.9,-,6.72
198,Sergio Reguilón Tottenham,24, D(L),M(L),26(1),2249,3,0.6,44.4,77.3,0.6,1.4,-,6.72
199,Conor Townsend West Brom,28, D(CL),M(L),25,2235,2,0.9,36.7,76.7,0.6,1.8,-,6.72
200,Ozan Kabak Liverpool,21, D(C),,9,803,-,0.1,64.9,88.7,-,1.7,-,6.72
201,Matthew Lowton Burnley,32, D(LR),M(R),34,3060,1,0.8,35.1,68.8,0.4,3.2,0.1,6.71
202,Pablo Marí Arsenal,28, D(C),,10,900,-,0.1,62.7,87.7,-,1.8,-,6.71
203,Robin Olsen Everton,31, GK,,7,630,-,-,25.1,65.9,-,6.4,-,6.71
204,David Button West Brom,32, GK,,1,90,-,-,36.0,47.2,-,9.0,-,6.71
205,Fabián Balbuena West Ham,30, D(C),,13(1),1198,-,-,34.4,75.1,-,3.1,-,6.71
206,Rhys Williams Liverpool,20, D(C),,7(2),661,-,0.2,56.0,87.3,-,2.1,0.1,6.71
207,Hakim Ziyech Chelsea,28, M(CLR),,15(8),1180,3,1.5,29.0,79.1,0.5,1.1,-,6.71
208,Jan Bednarek Southampton,25, D(C),,36,3104,1,0.1,57.4,82.4,-,2.3,-,6.7
209,Japhet Tanganga Tottenham,22, D(CR),,6,489,-,0.2,33.2,80.9,0.2,0.5,0.2,6.7
210,Tyrick Mitchell Crystal Palace,22, D(L),,19,1710,1,0.2,31.5,69.8,0.3,1.5,-,6.7
211,Ethan Ampadu Sheff Utd,21, D(C),DMC,23(2),2091,-,0.4,40.2,82.3,0.2,2.2,-,6.7
212,Tammy Abraham Chelsea,24, FW,,12(10),1036,1,0.4,9.3,72.7,-,0.1,-,6.7
213,Fraser Forster Southampton,33, GK,,8,720,-,-,30.4,51.9,-,4.5,-,6.7
214,Victor Lindelöf Man Utd,27, D(CR),,29,2586,1,0.2,64.3,89.8,-,2.1,-,6.69
215,Kenny Tete Fulham,26, D(CR),M(R),18(4),1483,1,0.8,31.4,75.5,1,1.5,-,6.69
216,Chris Basham Sheff Utd,33, D(CR),M(CR),31,2586,1,0.4,34.1,82.8,0.2,1.2,-,6.69
217,Héctor Bellerín Arsenal,26, D(R),M(R),24(1),2093,2,0.8,44.6,83.8,0.5,0.7,0.1,6.69
218,Daniel Podence Wolves,26, AM(CLR),FW,22(2),1679,2,0.9,25.0,77.7,0.3,1.8,-,6.68
219,Kieran Tierney Arsenal,24, D(CL),M(L),26(1),2302,3,1.1,43.7,79.6,0.9,1.6,-,6.68
220,Mbaye Diagne West Brom,30, FW,,14(2),1194,2,0.6,14.7,62.1,0.1,0.5,-,6.68
221,Oliver McBurnie Sheff Utd,25, AM(CL),FW,12(11),1319,-,0.7,19.1,57.5,-,0.3,-,6.67
222,João Moutinho Wolves,35, M(C),,28(5),2534,1,1.4,52.2,88.4,0.8,2.3,0.1,6.67
223,Douglas Luiz Aston Villa,23, M(C),,32(1),2790,2,0.6,42.9,85.7,0.1,3.3,-,6.67
224,Edinson Cavani Man Utd,34, AM(LR),FW,13(13),1372,3,0.5,12.9,77.4,-,0.5,0.1,6.67
225,Rodrigo Leeds,30, M(CLR),FW,14(12),1291,2,1.2,21.5,76.9,0.1,1.0,0.2,6.67
226,Craig Dawson West Ham,31, D(CR),,22,1926,-,0.1,34.7,79.7,-,2.7,-,6.67
227,Charlie Taylor Burnley,28, D(L),M(L),28(1),2429,1,0.4,34.1,70.3,0.7,2.1,-,6.67
228,Davinson Sánchez Tottenham,25, D(C),,17(1),1487,-,0.1,57.0,84.5,-,2.1,-,6.67
229,Isaac Hayden Newcastle,26, D(C),DMC,22(2),1946,-,0.3,32.8,80.7,0.1,1.2,-,6.67
230,Gylfi Sigurdsson Everton,32, M(CLR),FW,24(12),2256,5,1.2,23.7,85.0,0.8,0.7,-,6.67
231,Danny Welbeck Brighton,30, AM(CLR),FW,17(7),1547,1,0.9,10.8,81.0,-,0.1,-,6.66
232,Paul Dummett Newcastle,30, D(CL),,14(1),1256,-,0.3,34.5,74.1,0.3,2.1,-,6.66
233,Jacob Murphy Newcastle,26, D(R),M(LR),17(9),1621,3,0.7,17.6,70.5,0.6,0.8,-,6.66
234,Mohammed Salisu Southampton,22, D(CL),,8(4),843,-,0.2,30.0,80.0,-,0.9,-,6.66
235,Eric Dier Tottenham,27, D(CR),DMC,28,2520,-,0.2,63.9,83.2,-,4.0,-,6.66
236,Gabriel Martinelli Arsenal,20, AM(L),FW,7(7),588,1,0.6,10.3,79.9,0.4,0.2,-,6.66
237,Harrison Reed Fulham,26, D(R),M(CR),26(5),2251,2,0.7,47.6,86.2,0.2,1.5,-,6.66
238,Miguel Almirón Newcastle,27, AM(CLR),FW,28(6),2438,1,0.9,25.0,82.0,0.2,1.0,0.1,6.66
