,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
108,6.81,Silvio Vitoria de Setubal,34, D(LR),31,2778,-,1,0.2,0.5,1,1.3,-,0.8,1.2
109,6.81,Philipe Sampaio Tondela,27, D(C),20(2),1835,2,-,0.8,0.1,0.2,0.9,0.2,-,0.1
110,6.81,Gonzalo Plata Sporting,21, AM(R),12(9),1144,2,2,0.8,1,1.5,1.5,0.2,1,1.8
111,6.8,Rúben Ferreira Maritimo,31, D(L),19,1656,1,1,0.5,0.7,0.4,1.1,0.1,0.6,0.9
112,6.8,Pirri Vitoria de Setubal,29, D(C),18(2),1582,3,-,0.8,-,0.2,0.8,0.1,0.2,0.5
113,6.8,Carlos Junior Santa Clara,26, AM(LR),27(7),2456,7,3,1.6,0.4,1.1,1.3,0.9,1,2.3
114,6.79,Amir Abedzadeh Maritimo,28, GK,25,2280,-,-,-,-,-,0.4,-,-,0.1
115,6.79,Bruno Wilson Braga,24, D(C),3(3),350,1,-,0.7,-,-,0.2,-,-,-
116,6.79,Luís Neto Sporting,33, D(C),11(1),839,-,-,0.2,0.1,0.2,0.9,-,-,0.2
117,6.79,Sandro Lima Gil Vicente,31, AM(C),29(3),2560,10,1,2.1,1.1,0.5,2.8,0.9,0.9,2.5
118,6.78,Nanu Maritimo,27, D(R),32(1),2842,2,3,0.8,0.9,2.3,1.8,0.2,1.9,2.9
119,6.78,Rafael Ramos Santa Clara,26, D(R),14(2),1173,-,2,0.3,0.8,0.9,0.5,-,0.3,1.1
120,6.78,Ygor Nogueira Gil Vicente,26, D(C),22,1980,-,3,0.3,0.3,0.3,1.0,-,0.2,0.6
121,6.78,Odysseas Vlachodimos Benfica,27, GK,33,2970,-,-,-,-,-,0.3,-,-,-
122,6.78,Welinton Júnior Aves,28, AM(L),22(1),1852,7,3,3.3,0.6,1,2.8,0.5,1.5,3.3
123,6.77,Eber Bessa Vitoria de Setubal,29, M(CLR),25(6),2266,2,6,1.3,1.2,1.4,2.9,-,2.3,2.3
124,6.77,Raúl de Tomás Benfica,27, FW,6(1),467,-,-,2.4,0.9,0.6,0.9,0.3,1,1.1
125,6.77,Toni Martínez Famalicao,24, FW,27(5),2194,10,3,2.3,0.7,0.4,1.4,0.5,0.8,1.4
126,6.77,Fransérgio Braga,31, M(C),23(3),1995,4,1,1.5,0.7,0.8,2.2,0.1,0.9,1.2
127,6.77,Ola John Vitoria de Guimaraes,29, AM(LR),13(3),907,-,4,1.3,1.1,1.6,0.9,0.1,1.3,1.9
128,6.76,Edmond Tapsoba Vitoria de Guimaraes,22, D(C),16,1351,4,2,0.9,0.4,0.3,0.3,0.1,0.2,0.3
129,6.76,Luther Singh Moreirense,24, AM(LR),13(8),1272,3,2,1.6,1.2,1.6,1.5,0.2,1.4,2.1
130,6.76,Rafael Costa Boavista,30, M(C),16,1388,2,1,1.6,1.1,0.4,1.8,-,0.4,1.3
131,6.76,Nuno Santos Moreirense,22, M(C),9(5),809,1,2,1.3,1.1,0.6,0.5,-,1.2,0.7
132,6.76,Yannick Bolasie Sporting,32, AM(LR),12(2),1088,1,-,1.8,0.6,1.1,1.6,0.3,1.4,2.6
133,6.75,Costinha Santa Clara,29, M(CLR),14(2),1145,-,4,0.9,1.1,0.9,1.3,0.1,1.1,1.1
134,6.75,Carlinhos Vitoria de Setubal,27, M(CR),28(2),2436,4,1,1.7,1.2,1.5,1.9,-,1.3,1.6
135,6.75,João Afonso Santa Clara,31, D(C),32(1),2867,2,1,0.6,0.2,0.1,0.4,0.1,0.1,0.3
136,6.75,Pawel Kieszek Rio Ave,37, GK,34,3060,-,-,-,0.1,-,0.3,-,-,-
137,6.75,Cafu Belenenses SAD,27, D(C),12(2),1076,-,-,0.3,0.3,1.5,1.7,-,0.6,0.9
138,6.75,Lazar Rosic Moreirense,28, D(C),18,1620,2,-,0.5,0.1,-,0.3,-,-,0.2
