,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
630,Sávio Atletico MG,17, Forward,,2(6),160,0.5,-,0.5,-,-,0.4,-,-,6.2
631,Fernando Pacheco Fluminense,22, Forward,,5(10),450,0.6,0.1,0.6,-,0.1,0.3,-,-,6.2
632,Bruninho Sport Recife,21, Midfielder,,1(15),345,0.5,0.2,0.4,-,0.1,0.6,0.1,-,6.2
633,Marcos Leonardo Santos FC,18, FW,,7(11),569,0.3,0.1,1.2,-,0.2,0.2,-,-,6.2
634,Márcio Araújo Sport Recife,37, M(C),,4(6),436,1.1,0.6,0.7,-,0.3,0.5,-,-,6.2
635,Diego Tardelli Atletico MG,36, AM(CLR),FW,1(2),97,1.3,-,0.3,-,-,0.3,-,-,6.2
636,Osman Coritiba,29, AM(LR),,4(4),287,0.9,0.4,0.6,0.1,0.5,0.5,-,-,6.2
637,Nathan Fogaça Coritiba,22, Forward,,2(10),346,0.3,0.4,1.2,-,0.3,0.2,0.1,-,6.2
638,Morato Red Bull Bragantino,29, AM(L),,7(11),762,0.9,0.3,1.1,-,0.2,0.9,0.1,-,6.19
639,Pedro Acacio Palmeiras,19, Midfielder,,0(3),36,0.7,-,-,-,-,0.3,-,-,6.19
640,Mikael Sport Recife,22, FW,,1(13),294,0.3,-,0.1,-,0.2,0.1,-,-,6.19
641,Vinícius Vasco da Gama,20, AM(R),,9(9),759,0.4,0.1,0.4,-,-,0.3,0.1,-,6.18
642,Guilherme Azevedo Gremio,20, Forward,,0(9),106,0.6,0.2,0.2,-,0.1,0.4,-,-,6.18
643,Weverton Red Bull Bragantino,22, D(R),,3(7),326,0.7,0.6,0.5,-,0.8,0.4,-,-,6.18
644,Robinho Red Bull Bragantino,23, Midfielder,,0(5),84,0.2,0.2,0.6,-,-,-,-,-,6.18
645,Jádson Bahia,28, M(CR),,2(3),178,0.6,-,0.8,-,0.2,0.6,0.2,-,6.18
646,João Paulo Fortaleza,31, AM(CL),FW,3(7),303,0.2,0.1,1,-,0.1,0.2,-,-,6.18
647,Bissoli Athletico Paranaense,23, FW,,6(9),541,0.3,0.1,0.9,-,0.2,0.3,-,-,6.18
648,Leandro Fernández Internacional,30, AM(LR),FW,5(6),273,0.1,0.2,0.7,-,-,0.6,0.1,-,6.17
649,Chico Goias,34, D(CL),DMC,3,199,-,0.7,-,0.3,2.3,-,2,-,6.16
650,Carlos Rentería Botafogo RJ,26, M(C),,6(4),498,1.1,0.4,1.3,-,0.5,1.1,0.1,-,6.16
651,Hernane Brocador Sport Recife,35, FW,,8(15),714,0.3,0.3,0.5,-,0.2,0.4,-,-,6.16
652,Lucas Lourenço Santos FC,20, Midfielder,,1(16),348,0.6,0.3,0.7,-,0.1,0.5,-,-,6.16
653,Derick Santos FC,19, Defender,,0(1),1,-,-,-,-,1,-,-,-,6.16
654,Indio Goias,20, Forward,,3(9),389,0.3,0.3,1,-,0.2,0.2,-,-,6.16
655,Vinicius Mingotti Athletico Paranaense,21, Forward,,4(2),294,0.5,-,0.5,0.2,0.3,0.5,-,-,6.16
656,Federico Barrandeguy Botafogo RJ,25, Defender,,4(10),547,0.4,0.6,0.6,0.1,0.5,0.3,0.1,-,6.15
657,Bruno Leite Athletico Paranaense,21, Midfielder,,0(3),40,0.7,0.3,-,-,-,0.3,-,-,6.15
658,Pablo Thomaz Coritiba,22, Forward,,2(11),282,0.2,0.4,0.2,-,0.5,0.2,-,-,6.15
659,Bérgson Ceara,30, AM(R),FW,0(5),54,0.4,-,0.6,-,-,0.2,-,-,6.15
660,Vidal Goias,25, Defender,,0(1),4,-,-,1,-,-,-,-,-,6.15
661,Fernando Uribe Santos FC,33, FW,,0(1),24,-,-,-,-,-,1,-,-,6.15
662,Kevin Quevedo Goias,24, Forward,,0(1),31,-,-,-,-,1,-,-,-,6.15
663,Philip Sport Recife,30, Forward,,0(1),18,-,-,1,-,-,-,-,-,6.15
664,Antonio Galeano Sao Paulo,21, Forward,,0(5),45,0.2,-,0.2,-,0.4,-,-,-,6.15
665,Fernando Santos FC,22, Midfielder,,2,92,1,-,0.5,-,-,0.5,-,-,6.15
666,Gustavinho Goias,21, Defender,,0(2),26,-,-,-,-,0.5,0.5,-,-,6.15
667,Caio Lopes Vasco da Gama,21, Midfielder,,2(3),156,0.6,0.4,0.4,-,-,0.4,0.2,-,6.14
668,Helerson Botafogo RJ,24, Defender,,1,90,-,-,2,-,5,-,-,-,6.14
669,Lucas Santos Vasco da Gama,22, Midfielder,,0(4),48,-,-,0.5,-,0.5,-,-,-,6.14
670,Jan Carlos Hurtado Red Bull Bragantino,21, FW,,2(21),378,0.3,0.1,1.0,-,-,0.4,-,-,6.14
671,Kelvin Botafogo RJ,28, AM(LR),,3(2),241,0.2,0.6,1.2,-,-,0.6,-,-,6.14
672,Tailson Santos FC,22, AM(R),,2(11),395,0.9,0.2,0.6,-,0.3,0.8,-,-,6.13
673,Mariano Vázquez Fortaleza,28, Midfielder,,3(16),360,0.5,0.1,0.7,-,-,0.5,-,-,6.13
674,Lucas Venuto Sport Recife,26, AM(R),,2(6),285,-,0.3,0.4,-,-,0.4,-,-,6.13
675,Maílton Atletico MG,23, D(R),,1(4),102,0.4,-,0.2,-,-,0.4,0.2,-,6.13
676,Ramires Bahia,21, M(CR),,3,178,0.7,-,0.7,-,-,0.7,-,-,6.13
677,Wellissol Coritiba,23, Forward,,0(4),67,0.8,0.3,1.3,-,-,-,-,-,6.13
678,Franco Fragapane Fortaleza,28, AM(CLR),,0(9),116,0.3,0.2,0.2,-,0.2,0.9,-,-,6.12
679,Lucho González Athletico Paranaense,40, M(C),,4(8),343,0.5,0.2,0.8,-,0.2,0.5,0.1,-,6.12
680,Derley Fortaleza,35, M(C),,3(9),183,0.3,0.3,0.5,0.2,0.1,0.4,0.1,-,6.12
681,Jaime Alvarado Athletico Paranaense,22, Midfielder,,3(11),377,0.5,0.3,0.9,0.1,0.5,0.7,0.1,-,6.12
682,Matheus Frizzo Atletico GO,23, Midfielder,,0(4),80,-,-,0.8,-,0.5,0.3,0.3,-,6.12
683,Nascimento Fluminense,22, Midfielder,,0(1),7,1,-,-,-,-,1,-,-,6.12
684,Romildo Botafogo RJ,21, Midfielder,,1,60,3,2,2,-,-,1,-,-,6.12
685,Tiago Orobó Fortaleza,28, Midfielder,,0(5),43,0.2,0.2,0.8,-,-,-,-,-,6.12
686,Barreto Red Bull Bragantino,25, DMC,,1(3),107,0.8,0.3,0.8,-,0.5,0.5,-,-,6.12
687,Chrigor Red Bull Bragantino,21, Forward,,1(4),163,0.6,0.2,0.8,-,0.4,0.2,-,-,6.11
688,Thiago Neves Gremio,36, AM(CR),FW,1(4),132,-,0.2,0.2,-,-,0.4,-,-,6.11
689,Wisney Fluminense,22, Defender,,0(2),9,-,-,-,-,0.5,-,-,-,6.11
690,Fabrício Santos Gremio,21, Forward,,0(2),15,0.5,-,0.5,-,-,0.5,-,-,6.1
691,Joao Rojas Sao Paulo,32, AM(LR),,0(1),14,-,-,-,-,-,1,-,-,6.1
692,Frazan Fluminense,25, D(C),,0(1),19,-,-,1,1,2,-,-,-,6.1
693,Gustavo Sport Recife,19, AM(CLR),,0(4),41,-,0.8,0.3,-,0.3,0.5,-,-,6.1
694,Wesley da Silva Atletico MG,21, Midfielder,,0(2),17,-,-,0.5,-,0.5,-,-,-,6.1
695,Alan Ceara,22, Defender,,0(1),7,-,-,-,-,-,-,-,-,6.09
696,Dylan Borrero Atletico MG,19, Midfielder,,1(5),136,1.3,0.8,0.5,-,0.3,0.5,-,-,6.09
697,Mauro Boselli Corinthians,36, FW,,1(7),195,0.1,-,-,-,0.1,0.1,-,-,6.09
698,Uillian Correia Red Bull Bragantino,32, DMC,,2(5),215,0.1,0.3,1.1,-,0.6,0.7,0.1,-,6.08
699,Marcinho Botafogo RJ,25, D(R),M(R),3(1),295,1,1,1,0.3,2,-,-,-,6.08
700,Éderson Fortaleza,32, FW,,1(7),104,0.1,-,0.3,-,0.1,-,-,-,6.08
701,Renyer Santos FC,18, Midfielder,,0(1),31,-,1,1,-,-,-,-,-,6.08
702,Wesley Pionteck Souza Red Bull Bragantino,25, Midfielder,,0(1),33,-,1,1,-,-,2,-,-,6.08
703,Willian Farias Sport Recife,32, DMC,,4,347,0.8,1.3,2.3,-,0.8,1.5,-,-,6.08
704,Sandrinho Goias,20, Forward,,0(3),42,0.3,-,1,-,-,-,-,-,6.08
705,Pedro Marinho Goias,21, Midfielder,,0(4),115,1,0.3,1,-,-,0.5,-,-,6.08
706,Anderson Ceará Santos FC,22, Midfielder,,0(1),23,-,-,-,-,-,-,1,-,6.07
707,Júnior Brandão Atletico GO,25, FW,,0(11),157,0.6,0.1,0.7,-,0.5,0.2,-,-,6.06
708,Santiago Tréllez Sao Paulo,31, AM(R),FW,0(8),56,0.1,0.1,0.3,-,-,0.1,0.1,-,6.06
709,Daniel Silva Goias,21, Midfielder,,0(1),11,2,-,-,-,-,-,-,-,6.06
710,Maxwell Sport Recife,22, Forward,,0(4),41,0.8,0.5,0.3,-,0.5,0.3,-,-,6.06
711,Ruy Coritiba,32, AM(CLR),,2(1),133,1,-,0.3,0.3,-,1,-,-,6.06
712,Tiago Reis Vasco da Gama,22, Forward,,0(8),123,0.3,-,0.5,-,-,0.3,-,-,6.06
713,Gabriel Rodrigues Goias,21, Defender,,1(4),177,0.4,0.4,1,-,0.6,0.6,-,-,6.05
714,Gabriel Silva Palmeiras,19, Forward,,3(10),369,0.3,-,0.8,-,0.2,0.3,0.1,-,6.05
715,Thiago Lopes Coritiba,25, AM(C),,0(2),73,0.5,-,1,-,-,0.5,-,-,6.05
716,César Haydar Red Bull Bragantino,20, Defender,,0(1),1,-,-,-,-,-,-,-,-,6.05
717,Rildo Gremio,21, Midfielder,,0(2),19,-,-,0.5,-,-,-,-,-,6.05
718,João Igor Sport Recife,25, Midfielder,,0(3),39,-,0.7,1,-,0.3,1,-,-,6.04
719,Biel Coritiba,19, Midfielder,,1,70,1,2,2,-,-,2,-,-,6.04
720,Marcelinho Palmeiras,18, Forward,,1(1),65,0.5,0.5,0.5,-,-,0.5,-,-,6.04
721,Guilherme Parede Vasco da Gama,26, AM(LR),,1(10),225,0.3,0.1,0.5,-,0.1,-,0.1,-,6.04
722,Thonny Anderson Red Bull Bragantino,23, AM(C),FW,1(7),157,0.5,0.1,0.6,-,0.3,0.4,-,-,6.02
723,Wanderley Coritiba,33, Forward,,0(1),17,-,-,-,-,-,-,-,-,6.02
724,Walter Athletico Paranaense,32, FW,,1(16),252,-,-,0.5,-,-,0.3,-,-,6.01
725,Marcos Serrato Sport Recife,27, Midfielder,,0(2),28,0.5,-,1,-,0.5,0.5,-,-,6.01
726,Christian Fluminense,22, Midfielder,,0(1),1,-,-,-,-,-,-,-,-,6.0
727,Gustavo Henrique Atletico MG,22, Defender,,0(1),1,-,-,-,-,-,-,-,-,6.0
728,Henry Vaca Atletico GO,23, Forward,,0(1),1,-,-,1,-,-,-,-,-,6.0
729,Lucas Perri Sao Paulo,23, Goalkeeper,,1,1,-,-,-,-,-,-,-,-,6.0
730,Marcelo Oliveira Gremio,34, D(CL),DMC,0(1),1,-,-,-,-,-,-,-,-,6.0
731,Pablo Fortaleza,24, Midfielder,,0(1),1,-,-,-,-,-,-,-,-,6.0
732,Pedrão Sport Recife,21, Defender,,0(1),1,-,-,-,-,-,-,-,-,6.0
733,Cristiano Coritiba,20, Midfielder,,0(2),37,0.5,-,1,-,0.5,-,-,-,6.0
734,Rodrigo Muniz Flamengo,20, FW,,0(4),23,-,-,0.3,-,-,-,-,-,5.99
735,Lucas Mazetti Internacional,20, Defender,,0(1),12,-,-,-,-,-,2,-,-,5.98
736,Bruno Silva Atletico MG,21, AM(LR),,0(2),41,-,-,-,-,-,-,-,-,5.98
737,Luiz Felipe Bahia,21, Midfielder,,0(1),11,-,-,-,-,-,-,-,-,5.97
738,Thalles Goias,23, AM(C),,1,46,-,-,-,-,-,-,-,-,5.97
739,Edson Carius Fortaleza,33, Forward,,1,61,-,-,-,-,-,-,-,-,5.96
740,Marcelo Ryan Bahia,19, Forward,,0(1),5,-,-,-,-,-,1,-,-,5.96
741,Fabrício Palmeiras,20, Forward,,0(3),105,0.3,-,1.7,-,-,0.3,-,-,5.94
742,Wendel Botafogo RJ,19, Midfielder,,0(1),14,-,1,-,-,-,1,-,-,5.94
743,Rithely Atletico GO,30, DMC,,0(3),17,-,0.3,0.3,-,0.7,-,-,-,5.93
744,Marthã Ceara,24, Midfielder,,1(2),50,-,0.3,0.7,-,-,-,-,-,5.93
745,Lucas Campos Botafogo RJ,24, Midfielder,,1(1),49,-,0.5,-,-,-,1.5,-,-,5.92
746,Lázaro Flamengo,19, Forward,,0(2),22,-,-,-,0.5,-,-,-,-,5.9
747,Gabriel Batista Flamengo,23, GK,,3,270,-,-,-,-,1,0.3,-,-,5.87
