,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
81,7.0,Ragnar Ache Sparta Rotterdam,23, FW,18(1),1481,5,3,1.4,0.8,0.3,1.1,0.7,1.5,3.2
82,6.99,Azor Matusiwa FC Groningen,23, DMC,23,2050,-,-,0.2,0.5,0.8,1.3,-,0.6,1.3
83,6.98,Jens Toornstra Feyenoord,32, M(CLR),19(2),1716,5,3,1.1,1.5,0.8,0.2,-,1,1.4
84,6.98,Janis Blaswich Heracles,30, GK,26,2340,-,1,-,-,0.1,0.1,-,-,0.1
85,6.97,Alexander Merkel Heracles,29, M(CR),25,2201,2,4,1,1.6,0.4,1.0,-,1,1.0
86,6.97,Ricardo Rodríguez PSV Eindhoven,29, D(CL),5(1),448,-,-,1.2,0.8,0.5,0.2,-,0.5,1.3
87,6.97,Jurgen Mattheij Sparta Rotterdam,28, D(C),26,2296,2,1,1,0.2,0.1,0.5,-,-,0.1
88,6.96,Johnatan Opoku VVV-Venlo,31, AM(CR),14(5),1324,6,3,1.3,0.9,0.7,1.0,0.1,0.9,2.1
89,6.96,Luka Adzic FC Emmen,23, AM(L),1(2),159,1,-,2.7,0.7,1.7,0.3,0.3,0.3,1.3
90,6.96,José Joaquín Matos Twente,26, Defender,2,180,-,1,-,0.5,-,3,-,1,2
91,6.95,Pantelis Hatzidiakos AZ Alkmaar,24, D(C),7(4),738,1,-,0.3,0.3,0.1,0.3,-,0.2,-
92,6.94,Lennart Czyborra Heracles,22, D(L),19,1652,2,2,0.3,0.6,1.1,1.2,-,0.8,1.8
93,6.94,Liam Kelly Feyenoord,25, M(C),1,90,-,-,2,1,-,6,-,-,2
94,6.94,Thomas Bruns VVV-Venlo,29, AM(CL),6,509,-,-,1.8,1,0.8,1.2,-,0.7,0.3
95,6.92,Marco Bizot AZ Alkmaar,30, GK,24,2075,-,-,-,-,-,0.1,-,-,-
96,6.92,Lars Unnerstall PSV Eindhoven,31, GK,14,1260,-,-,0.1,-,0.1,-,-,0.1,-
97,6.92,Noa Lang Twente,22, AM(LR),7,602,1,-,2.4,2,2.7,2.3,0.3,1.9,3.6
98,6.92,Ritsu Doan FC Groningen,23, AM(CLR),2,180,1,-,2.5,1,1,1,-,2,5
99,6.91,Sander van de Streek FC Utrecht,28, AM(CL),20(1),1680,4,-,1.7,1.3,0.7,1.3,0.1,1.3,2.6
100,6.91,Armando Obispo Vitesse,22, D(C),26,2337,-,1,0.7,0.2,0.3,0.4,-,0.1,0.2
101,6.91,Stijn Spierings RKC Waalwijk,25, AM(C),17,1525,3,3,1.9,1.9,1.5,1.8,0.1,2.1,2.2
102,6.91,Klaas Jan Huntelaar Ajax,38, FW,6(12),840,9,2,1.8,0.9,0.2,0.4,0.3,0.4,1.0
103,6.91,Michael de Leeuw FC Emmen,35, AM(CLR),26,2257,9,2,2.0,1.3,0.5,0.8,0.3,0.6,1.3
104,6.91,Bart Ramselaar FC Utrecht,25, AM(CL),12(4),1043,5,1,0.9,0.9,1.5,0.3,-,0.8,0.8
105,6.91,Timo Baumgartl PSV Eindhoven,25, D(C),12(1),1092,1,-,0.5,0.2,0.2,0.2,-,0.2,0.2
106,6.9,Kenneth Paal PEC Zwolle,24, D(L),19,1660,3,3,0.9,0.8,1.4,1.3,0.2,0.5,1.6
107,6.9,Mike Trésor Willem II,22, AM(CL),16(4),1509,5,3,2.2,1.4,2.1,1.1,0.1,1.7,2.1
108,6.9,Lindon Selahi Twente,22, M(C),23(2),1873,2,1,0.6,0.3,1.1,1.6,0.1,0.9,1.4
109,6.89,Ajdin Hrustic FC Groningen,25, M(CLR),23(2),1898,3,2,2.4,1.4,1.4,1.6,0.1,1.3,2.1
110,6.89,Patrick Joosten Sparta Rotterdam,25, AM(CLR),8,661,3,-,1.9,1.0,1.4,1.8,-,1.5,2.4
111,6.89,Samir Memisevic FC Groningen,28, D(C),6(5),637,1,-,0.7,0.4,0.3,0.9,-,-,0.4
112,6.88,Sebastian Holmén Willem II,29, D(CR),26,2340,1,1,0.3,0.2,0.2,0.3,-,-,0.2
113,6.88,Ché Nunnely Willem II,22, AM(R),25,2037,4,3,1.3,1.0,2.2,1.4,0.5,1.6,2.7
114,6.88,Michal Sadílek PSV Eindhoven,22, D(L),13(1),1101,1,2,0.4,0.6,0.3,0.8,0.1,0.6,0.4
115,6.88,Luciano Slagveer FC Emmen,28, AM(LR),7(2),532,2,2,1,1.6,1.8,0.6,0.2,1.1,2.3
116,6.88,Remko Pasveer Vitesse,38, GK,26,2340,-,2,-,0.2,-,0.2,-,-,-
117,6.87,Stijn Wuytens AZ Alkmaar,32, D(C),21,1798,-,-,0.3,0.1,-,0.1,-,-,0.2
118,6.87,Jurgen Ekkelenkamp Ajax,21, AM(C),1(3),131,1,1,1.5,0.5,1.3,0.5,-,0.5,0.5
119,6.87,Nick Viergever PSV Eindhoven,32, D(CL),23,2048,-,-,0.3,0.6,0.4,0.3,0.1,0.4,0.6
120,6.87,Ryan Babel Ajax,34, M(LR),5,386,-,-,2.2,2.0,1.4,1.4,0.2,1.6,2.4
121,6.87,Joel Asoro FC Groningen,22, AM(R),13(2),1183,3,1,2.5,0.7,1.5,1.1,0.3,1.9,2.1
122,6.87,Nouha Dicko Vitesse,29, AM(R),14(5),1210,4,1,2.0,0.6,0.8,0.7,0.3,1.3,1.8
123,6.87,Perr Schuurs Ajax,21, D(C),7(3),732,1,-,1.2,0.5,0.5,0.6,-,0.4,1.0
124,6.87,Navarone Foor Vitesse,29, M(CLR),11(6),952,-,4,0.8,1.6,0.7,0.6,-,0.7,1.2
125,6.87,Ritsu Doan PSV Eindhoven,23, AM(CLR),12(7),1026,2,1,1.3,0.6,1.7,1.1,0.1,1.3,1.3
126,6.86,Jorrit Hendrix PSV Eindhoven,26, D(C),13(4),1137,1,2,0.8,0.4,0.2,0.4,-,0.4,0.9
127,6.86,Orkun Kökcü Feyenoord,20, DMC,21(1),1724,2,4,1.8,1.4,1.2,1.0,-,1.7,1.4
128,6.86,Sam Larsson Feyenoord,28, AM(CL),9(12),956,4,1,1.4,1.0,1.9,0.9,-,0.7,1.0
129,6.86,Bruma PSV Eindhoven,27, AM(CLR),12(6),974,3,3,1.6,1.4,1.7,0.6,0.5,1.2,2.0
130,6.85,Clint Leemans RKC Waalwijk,26, M(CR),21,1836,4,3,1.7,1.9,0.1,0.5,-,0.7,1.2
131,6.85,Michael Zetterer PEC Zwolle,26, GK,13,1170,-,-,-,0.1,0.2,0.2,-,-,-
132,6.84,Miguel Araujo FC Emmen,27, D(C),12,1080,1,-,1.2,0.1,-,0.5,0.1,0.2,0.4
133,6.84,Adrián Dalmau FC Utrecht,27, FW,4(3),421,4,-,2.1,0.4,0.1,0.7,0.6,1.4,2.1
134,6.84,Freek Heerkens Willem II,32, D(CLR),22,1979,3,1,0.5,0.5,0.5,0.8,-,0.7,1.2
135,6.84,Mats Knoester Heracles,22, D(C),24(1),2197,-,-,0.4,0.2,0.4,0.5,-,0.4,0.6
136,6.84,Haris Vuckic Twente,29, AM(C),23(2),2053,11,1,1.5,0.9,0.6,0.6,0.6,1.4,2.5
137,6.83,Warner Hahn SC Heerenveen,29, GK,20,1800,-,-,-,0.1,-,-,-,-,-
138,6.83,Jorn Brondeel Twente,28, GK,1(1),159,-,-,-,-,-,0.5,-,-,0.5
139,6.83,Robert Zwinkels ADO Den Haag,38, GK,5,450,-,-,-,-,-,-,-,-,-
140,6.83,Ramon Pascal Lundqvist FC Groningen,24, M(CL),17(3),1350,5,2,1.6,1.3,1.2,1.1,-,1.2,2.5
141,6.82,Willem Janssen FC Utrecht,35, D(C),19,1710,2,-,0.6,0.2,0.2,0.4,-,-,0.2
142,6.82,Dani de Wit AZ Alkmaar,23, AM(C),19(3),1529,3,1,1.2,0.4,0.3,1.1,0.1,0.7,1.5
143,6.82,Daniel Schwaab PSV Eindhoven,33, D(CR),17(1),1522,1,2,0.3,0.4,0.2,0.3,-,-,0.3
144,6.81,Sergiño Dest Ajax,21, D(LR),15(5),1444,-,4,1.1,0.9,1.2,0.5,-,1.2,1.7
145,6.81,Wessel Dammers Fortuna Sittard,26, D(C),9(2),818,-,-,0.4,0.2,0.6,0.6,-,0.2,0.3
146,6.81,Robin Pröpper Heracles,28, D(C),18,1536,-,1,1.1,0.3,0.2,0.9,-,0.1,0.6
147,6.81,Rodney Kongolo SC Heerenveen,23, DMC,25(1),2084,4,-,0.4,0.9,0.9,0.6,-,0.9,1.9
148,6.8,Bart van Hintum FC Groningen,34, D(CL),14,1196,-,-,0.4,0.8,0.1,0.1,-,0.1,0.7
149,6.8,Django Warmerdam FC Groningen,26, D(L),19(2),1634,1,1,0.5,0.7,1.0,0.7,-,0.8,1.5
150,6.8,Bryan Smeets Sparta Rotterdam,28, M(C),20(2),1776,4,6,1.6,1.3,1.0,0.3,-,0.8,1.5
151,6.8,Lorenzo Burnet FC Emmen,30, D(L),19(1),1613,-,4,0.5,0.6,1.4,0.5,-,1.0,1.9
152,6.8,Rick Karsdorp Feyenoord,26, D(R),13(2),1139,1,3,0.6,1.2,0.7,0.1,-,0.7,0.7
153,6.79,Jeremiah St. Juste Feyenoord,25, D(CR),1,90,-,-,-,-,2.0,-,-,1.0,2.0
154,6.79,Iliass Bel Hassani PEC Zwolle,29, AM(CLR),12(2),977,5,-,1.4,1.6,0.9,0.8,-,1.3,0.9
155,6.78,Navajo Bakboord Heracles,22, D(R),9(1),811,-,1,0.4,0.7,1.0,1.3,-,1.3,0.9
156,6.78,Lazaros Rota Fortuna Sittard,24, D(R),4(1),413,-,-,0.2,-,1.2,1.6,-,0.8,1.0
157,6.78,Ibrahim Dresevic SC Heerenveen,24, D(C),26,2340,2,1,1,0.3,0.5,1.1,-,0.2,0.9
158,6.77,Noussair Mazraoui Ajax,24, D(R),9(4),744,-,-,0.9,0.5,1.5,0.8,-,0.5,1.1
159,6.77,Jens Odgaard SC Heerenveen,22, FW,22(2),1864,7,1,3,0.5,1.2,1.4,0.2,1.8,3.8
160,6.77,Gastón Pereiro PSV Eindhoven,26, AM(CLR),1(3),102,2,-,2,0.3,0.5,-,-,0.5,0.3
161,6.77,Keisuke Honda Vitesse,35, M(CR),3(1),270,-,-,1.3,1.5,0.8,1.5,0.3,0.8,1.0
162,6.77,Hilal Ben Moussa FC Emmen,29, DMC,5(2),512,-,-,0.6,0.1,0.3,1.1,-,0.7,0.7
163,6.76,Christian Kum VVV-Venlo,36, D(CLR),19(1),1658,-,-,0.3,0.6,0.4,0.5,0.2,0.2,0.5
164,6.76,John Goossens ADO Den Haag,33, M(CLR),22,1840,2,5,1.3,1.4,0.4,0.6,-,0.5,0.8
165,6.76,Kaj Sierhuis FC Groningen,23, FW,14(2),1048,6,1,1.9,0.7,0.4,0.7,0.4,0.8,1.9
166,6.76,Yuta Nakayama PEC Zwolle,24, D(CL),13(1),1146,2,-,0.5,0.5,0.6,1,0.1,0.6,1.1
167,6.76,Riechedly Bazoer Vitesse,25, D(C),19(3),1718,3,1,2.2,1.1,1,2,0.2,1.5,1.5
168,6.76,Eli Dasa Vitesse,28, D(R),9(1),843,-,1,0.6,1.6,1,0.7,-,0.6,1.0
169,6.76,André Onana Ajax,25, GK,24,2160,-,-,-,-,-,0.1,-,-,0.1
170,6.76,Mohammed Osman Heracles,27, DMC,10(3),931,-,3,1.3,1.4,0.7,0.8,-,1,1.3
171,6.76,Bart Vriends Sparta Rotterdam,30, D(C),26,2334,2,1,0.5,0.1,-,0.2,-,0.2,0.3
172,6.75,Calvin Verdonk Twente,24, D(L),22,1952,1,2,0.5,0.5,0.6,0.5,0.1,0.7,0.8
173,6.75,Mike te Wierik FC Groningen,29, D(CR),23,2016,1,-,0.3,0.3,0.2,0.8,-,0.1,0.3
174,6.75,Saïd Bakari RKC Waalwijk,27, D(LR),13(5),1268,1,2,0.6,0.8,1.1,0.8,0.1,1.2,0.8
175,6.74,Joël Drommel Twente,25, GK,25,2178,-,-,-,-,-,0.1,-,-,-
176,6.74,Jordan Teze PSV Eindhoven,22, D(CR),1(1),135,-,-,-,-,1,0.5,0.5,-,-
177,6.73,Alexei Coselev Fortuna Sittard,27, GK,26,2340,-,-,-,-,-,0.1,-,-,-
178,6.72,Sylla Sow RKC Waalwijk,25, AM(LR),14(6),1242,4,2,1.1,0.9,2.7,1.0,0.1,1.9,2.4
179,6.72,Aaron Meijers ADO Den Haag,34, D(L),23(3),2106,2,2,0.5,0.7,0.7,1.7,0.1,0.8,1.2
180,6.72,Javier Espinosa Twente,29, AM(CLR),18(1),1476,1,4,0.8,1.1,1.1,1.2,-,1.3,1.3
181,6.72,Sherel Floranus SC Heerenveen,23, D(LR),25,2231,1,2,0.3,0.6,0.6,0.8,-,0.6,0.7
182,6.71,Driess Saddiki Willem II,25, DMC,25,2083,-,1,0.5,0.4,0.5,1,-,0.8,1.7
183,6.71,Darren Maatsen RKC Waalwijk,30, AM(R),13(6),1137,2,1,1.8,0.8,1.6,0.9,0.2,1.2,2.1
184,6.71,Michael Chacón FC Emmen,27, DMC,24,2103,-,-,0.6,0.5,1.1,1.8,-,1.1,1.6
185,6.71,Jordens Peters Willem II,34, D(C),26,2338,-,1,0.3,0.1,0.2,0.5,-,0.2,0.5
186,6.71,Justin Bijlow Feyenoord,23, GK,7,630,-,-,-,0.1,-,-,-,-,0.1
187,6.7,Lucas Woudenberg SC Heerenveen,27, D(L),11(3),976,-,-,-,1.1,0.1,0.2,-,0.2,0.6
188,6.7,Danilho Doekhi Vitesse,23, D(C),26,2340,-,1,0.4,0.3,0.1,0.3,-,0.2,0.2
189,6.7,Leon Guwara FC Utrecht,25, D(L),14(1),1238,-,2,0.8,1.3,1.3,0.9,0.2,1.5,1.1
190,6.7,Bram van Polen PEC Zwolle,36, D(CLR),7(1),630,-,-,0.5,0.3,0.3,0.4,-,0.1,0.6
191,6.7,Tim Breukers Heracles,34, D(LR),16(1),1441,-,2,0.2,0.4,0.4,0.5,-,0.3,1
192,6.69,Dennis Telgenkamp FC Emmen,34, GK,26,2340,-,1,-,-,-,0.2,-,-,-
