,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
454,Eduardo Brock Ceara,30, D(C),,5(4),482,-,0.2,30.3,77.7,0.1,2.6,-,6.46
455,Rogério Bahia,30, AM(LR),FW,1(12),349,-,0.4,7.2,75.5,0.2,-,-,6.46
456,Brenner Fluminense,21, FW,,2(3),221,-,0.8,18.4,87.0,-,0.8,-,6.46
457,Kieza Fortaleza,35, AM(L),FW,10(14),1166,-,0.5,10.3,73.3,-,0.1,-,6.46
458,Bruninho Atletico MG,21, Midfielder,,3(10),400,-,0.4,15.4,85.5,0.2,0.2,-,6.46
459,Didira CS Alagoano,33, AM(R),,13(1),1000,-,0.9,27.3,80.9,0.4,1.6,0.1,6.45
460,Patrick Gremio,22, AM(C),,1(17),334,-,0.4,8.4,87.4,0.3,0.2,0.1,6.45
461,Elton Bahia,31, DMC,,7(2),607,-,0.8,43.1,87.6,-,1.3,-,6.45
462,Chico Ceara,30, AM(CLR),,8(3),655,1,0.8,20.2,82.4,0.3,0.3,-,6.45
463,Ribamar Vasco da Gama,24, FW,,15(6),1165,-,0.2,9.9,65.2,-,-,-,6.44
464,Jean Mota Santos FC,28, D(L),M(CLR),13(14),1268,1,1.0,23.9,82.3,0.6,1.3,0.1,6.44
465,Bruno Méndez Corinthians,22, D(C),,5(1),522,-,0.2,39.7,81.9,0.2,2.2,-,6.44
466,Romario Marques Ceara,29, Forward,,0(2),94,-,1.0,9.0,66.7,-,-,-,6.44
467,Martín Sarrafiore Internacional,24, AM(R),,5(14),649,-,0.8,15.0,77.9,0.2,0.6,-,6.44
468,Matheus Jesus Corinthians,24, M(C),,2(4),204,-,0.5,16.8,81.2,-,0.2,-,6.44
469,Pará Santos FC,35, D(LR),M(R),8(3),812,-,0.2,40.2,88.0,-,2,-,6.44
470,Jonathan Silva Botafogo RJ,23, Defender,,4(1),368,2,0.6,25.8,86.8,0.4,0.6,-,6.43
471,Yan Sasse Vasco da Gama,24, AM(CLR),,4(2),342,-,0.8,19.5,76.1,0.5,0.2,-,6.43
472,Yuri Botafogo RJ,25, D(L),,11(6),1083,-,0.6,21.7,81.0,0.2,0.4,-,6.43
473,Robert Piris da Motta Flamengo,27, DMC,,13(13),1294,-,-,27.3,88.7,-,1.4,-,6.43
474,Erik Internacional,20, Defender,,0(2),83,-,-,18.5,83.8,-,0.5,-,6.43
475,Gegê Avai FC,27, AM(L),,6(5),513,-,0.6,19.5,84.1,0.9,0.5,-,6.42
476,Maicon Bolt Atletico MG,31, AM(LR),FW,2(9),353,2,1.3,14.2,75.6,-,0.1,-,6.42
477,Edilson Cruzeiro,35, D(R),,9(4),891,-,0.6,34.1,81.7,0.5,2.2,-,6.42
478,Elicarlos Chapecoense AF,36, DMC,,16(3),1506,-,0.6,26.4,80.6,-,2.4,-,6.42
479,Alan Ruschel Goias,32, D(L),M(LR),4(5),434,-,0.6,12.0,76.9,0.3,0.3,-,6.42
480,Geuvânio Atletico MG,29, AM(LR),FW,9(16),993,1,0.7,17.3,81.1,0.1,0.6,-,6.42
481,Danilo Gomes Sao Paulo,22, AM(LR),,0(1),10,-,-,-,-,-,-,-,6.42
482,Welinton Cruzeiro,22, Forward,,0(1),21,-,1,5,40,2,1,-,6.42
483,Elias Atletico MG,36, M(CR),,25,2030,1,0.7,47.6,90.6,-,2.1,-,6.42
484,Jean Palmeiras,35, D(R),M(CR),4(4),420,1,0.5,25.4,87.2,0.1,0.8,-,6.42
485,Amaral Chapecoense AF,35, D(C),DMC,10(5),950,-,0.3,23,82.9,-,1.7,-,6.42
486,Ronaldo Alves CS Alagoano,32, D(C),,5(1),512,-,-,40.7,82.4,-,2.7,-,6.42
487,Ariel Cabral Cruzeiro,34, DMC,,11(5),771,1,0.6,27.9,81.6,-,1.1,0.1,6.42
488,Ronaldo Bahia,25, DMC,,10(4),844,-,0.6,28.8,86.1,0.1,1.7,0.1,6.41
489,Raniel Sao Paulo,25, FW,,8(6),800,1,0.6,9.1,70.1,-,0.1,-,6.41
490,Jairinho Vasco da Gama,31, Midfielder,,0(4),95,-,0.3,4.0,62.5,-,0.3,-,6.41
491,Rodrigo Pimpão Botafogo RJ,34, AM(LR),FW,11(8),1008,3,0.5,14.9,68.6,0.3,0.3,-,6.41
492,Jackson Bahia,31, D(C),,1,90,-,1.0,66.0,86.4,-,8.0,-,6.41
493,Mateus Gonçalves Ceara,27, AM(LR),,8(16),924,1,0.4,9.7,77.2,-,0.3,-,6.41
494,Mariano Vázquez Fortaleza,28, Midfielder,,3(3),289,-,0.2,9.7,77.6,-,0.5,-,6.41
495,Jádson Cruzeiro,28, M(CR),,8(6),759,-,0.6,30.9,90.3,-,2.1,-,6.41
496,Roger Ceara,36, FW,,0(2),52,-,0.5,6.0,100.0,-,0.5,-,6.4
497,Jonny Mosquera Avai FC,30, DMC,,4(7),461,-,0.2,25.9,89.5,-,1.0,-,6.4
498,Euller CS Alagoano,26, D(L),M(L),11(5),896,-,0.7,17.6,80.1,0.6,1.3,-,6.4
499,Hugo Moura Flamengo,23, DMC,,2,91,1,0.5,11.5,52.2,-,1.0,-,6.4
500,Lucas Mineiro Vasco da Gama,25, M(C),,8(3),712,-,0.4,31.3,85.8,-,1.8,-,6.4
501,Darlan Gremio,23, DMC,,6(7),601,1,0.9,37.5,90.8,-,1.4,0.2,6.4
502,Geovane Goias,32, DMC,,16(1),1386,-,0.5,28.6,82.3,-,1.9,-,6.4
503,Wellington Nem Fluminense,29, AM(R),,6(12),736,-,0.4,13.0,85.5,-,0.1,-,6.39
504,Tomás Andrade Athletico Paranaense,25, AM(C),,5(7),478,1,1.1,18.9,79.3,0.6,0.3,-,6.39
505,Jean Cléber CS Alagoano,31, M(C),,11(13),1234,2,0.3,24.1,83.8,-,1.9,-,6.39
506,Arthur Caike Bahia,29, AM(LR),FW,9(20),1116,1,0.4,10.4,70.1,0.1,0.2,-,6.39
507,Alecsandro CS Alagoano,40, FW,,15(5),1172,-,0.3,10.9,65.9,-,0.2,-,6.39
