,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
165,6.83,Marcelo Lomba Internacional,34, GK,34,3021,-,-,-,-,-,0.2,-,-,0.1
166,6.83,Dodô Cruzeiro,29, D(L),14(4),1352,-,-,0.6,0.8,0.6,0.3,0.1,0.4,0.6
167,6.83,Pablo Marí Flamengo,28, D(C),22,1980,2,1,0.5,0.2,0.2,0.2,0.1,0.1,0.2
168,6.83,Gilberto Bahia,32, FW,27(5),2348,14,3,2.5,0.6,0.4,0.7,0.3,1,1.9
169,6.83,Éderson Cruzeiro,22, DMC,20(1),1650,2,-,1.4,0.7,1.7,1.4,-,1.3,1.8
170,6.82,Tchê Tchê Sao Paulo,29, M(CR),35,3107,1,-,1.1,1.2,1.3,1.3,-,0.8,1.2
171,6.82,Fernando Miguel Vasco da Gama,36, GK,30,2656,-,-,-,-,-,0.2,-,-,-
172,6.82,Matheus Ferraz Fluminense,36, D(C),7,572,1,-,1.1,0.1,0.1,0.4,0.1,-,0.6
173,6.82,Richard Vasco da Gama,27, DMC,25,2201,-,1,0.7,0.4,0.5,1.2,-,0.7,1
174,6.82,Jonathan Athletico Paranaense,35, D(R),6(1),497,1,-,0.4,1.3,0.3,0.6,-,0.3,0.7
175,6.82,Leonardo Gomes Gremio,25, D(R),9,810,-,-,1.6,0.6,0.6,0.1,-,1,0.8
176,6.82,Marquinhos Atletico MG,22, AM(L),7(5),670,1,3,1.5,1.1,1.8,1.0,-,1,2.4
177,6.82,Jonathan Gómez CS Alagoano,31, AM(CR),25(1),2167,5,3,2.1,1.5,1.2,2.9,0.1,1.3,1.5
178,6.82,João Paulo Avai FC,31, AM(CL),22(6),2086,5,-,1.5,1.6,2.2,1.6,-,1.7,1.8
179,6.82,Mateus Vital Corinthians,23, AM(CLR),21(10),1967,2,2,1.6,0.7,2.6,2.1,0.1,1.3,1.5
180,6.82,Fernando Costanza Botafogo RJ,22, D(R),19(3),1682,-,1,0.4,0.4,1,0.8,-,0.3,0.6
181,6.82,David Duarte Goias,26, D(C),7,541,-,-,0.7,0.3,0.1,0.4,-,-,0.4
182,6.81,Giovanni Augusto Goias,32, AM(CLR),10(2),779,-,1,1.7,1.2,2.1,1.4,-,1.2,0.8
183,6.81,Khelven Athletico Paranaense,20, D(R),4(1),403,-,-,0.4,1.2,1,0.2,-,0.8,1.8
